 0.00000000e+00  9.01049505e-01  0.00000000e+00  8.99999325e-01  0.00000000e+00  8.99999390e-01  0.00000000e+00  8.00000000e-01 
 1.00000000e-07  9.01049505e-01  1.00000000e-07  8.99999329e-01  1.00000000e-07  8.99999393e-01  1.00000000e-07  8.00040000e-01 
 2.00000000e-07  9.01049505e-01  2.00000000e-07  8.99999333e-01  2.00000000e-07  8.99999397e-01  2.00000000e-07  8.00080000e-01 
 4.00000000e-07  9.01049505e-01  4.00000000e-07  8.99999340e-01  4.00000000e-07  8.99999405e-01  4.00000000e-07  8.00160000e-01 
 8.00000000e-07  9.01049505e-01  8.00000000e-07  8.99999355e-01  8.00000000e-07  8.99999419e-01  8.00000000e-07  8.00320000e-01 
 1.60000000e-06  9.01049505e-01  1.60000000e-06  8.99999385e-01  1.60000000e-06  8.99999449e-01  1.60000000e-06  8.00640000e-01 
 3.20000000e-06  9.01049508e-01  3.20000000e-06  8.99999444e-01  3.20000000e-06  8.99999505e-01  3.20000000e-06  8.01280000e-01 
 6.40000000e-06  9.01049519e-01  6.40000000e-06  8.99999562e-01  6.40000000e-06  8.99999614e-01  6.40000000e-06  8.02560000e-01 
 1.28000000e-05  9.01049557e-01  1.28000000e-05  8.99999789e-01  1.28000000e-05  8.99999823e-01  1.28000000e-05  8.05120000e-01 
 2.28000000e-05  9.01049653e-01  2.28000000e-05  9.00000126e-01  2.28000000e-05  9.00000131e-01  2.28000000e-05  8.09120000e-01 
 3.28000000e-05  9.01049782e-01  3.28000000e-05  9.00000441e-01  3.28000000e-05  9.00000420e-01  3.28000000e-05  8.13120000e-01 
 4.28000000e-05  9.01049932e-01  4.28000000e-05  9.00000736e-01  4.28000000e-05  9.00000691e-01  4.28000000e-05  8.17120000e-01 
 5.28000000e-05  9.01050094e-01  5.28000000e-05  9.00001012e-01  5.28000000e-05  9.00000944e-01  5.28000000e-05  8.21120000e-01 
 6.28000000e-05  9.01050263e-01  6.28000000e-05  9.00001272e-01  6.28000000e-05  9.00001182e-01  6.28000000e-05  8.25120000e-01 
 7.28000000e-05  9.01050434e-01  7.28000000e-05  9.00001515e-01  7.28000000e-05  9.00001405e-01  7.28000000e-05  8.29120000e-01 
 8.28000000e-05  9.01050605e-01  8.28000000e-05  9.00001745e-01  8.28000000e-05  9.00001615e-01  8.28000000e-05  8.33120000e-01 
 9.28000000e-05  9.01050773e-01  9.28000000e-05  9.00001961e-01  9.28000000e-05  9.00001814e-01  9.28000000e-05  8.37120000e-01 
 1.02800000e-04  9.01050938e-01  1.02800000e-04  9.00002167e-01  1.02800000e-04  9.00002001e-01  1.02800000e-04  8.41120000e-01 
 1.12800000e-04  9.01051099e-01  1.12800000e-04  9.00002361e-01  1.12800000e-04  9.00002180e-01  1.12800000e-04  8.45120000e-01 
 1.22800000e-04  9.01051256e-01  1.22800000e-04  9.00002547e-01  1.22800000e-04  9.00002350e-01  1.22800000e-04  8.49120000e-01 
 1.32800000e-04  9.01051409e-01  1.32800000e-04  9.00002726e-01  1.32800000e-04  9.00002512e-01  1.32800000e-04  8.53120000e-01 
 1.42800000e-04  9.01051558e-01  1.42800000e-04  9.00002898e-01  1.42800000e-04  9.00002669e-01  1.42800000e-04  8.57120000e-01 
 1.52800000e-04  9.01051704e-01  1.52800000e-04  9.00003067e-01  1.52800000e-04  9.00002822e-01  1.52800000e-04  8.61120000e-01 
 1.62800000e-04  9.01051848e-01  1.62800000e-04  9.00003232e-01  1.62800000e-04  9.00002972e-01  1.62800000e-04  8.65120000e-01 
 1.72800000e-04  9.01051990e-01  1.72800000e-04  9.00003398e-01  1.72800000e-04  9.00003120e-01  1.72800000e-04  8.69120000e-01 
 1.82800000e-04  9.01052133e-01  1.82800000e-04  9.00003566e-01  1.82800000e-04  9.00003270e-01  1.82800000e-04  8.73120000e-01 
 1.92800000e-04  9.01052277e-01  1.92800000e-04  9.00003742e-01  1.92800000e-04  9.00003426e-01  1.92800000e-04  8.77120000e-01 
 2.02800000e-04  9.01052426e-01  2.02800000e-04  9.00003933e-01  2.02800000e-04  9.00003593e-01  2.02800000e-04  8.81120000e-01 
 2.12800000e-04  9.01052581e-01  2.12800000e-04  9.00004154e-01  2.12800000e-04  9.00003785e-01  2.12800000e-04  8.85120000e-01 
 2.22800000e-04  9.01052748e-01  2.22800000e-04  9.00004437e-01  2.22800000e-04  9.00004030e-01  2.22800000e-04  8.89120000e-01 
 2.32800000e-04  9.01052940e-01  2.32800000e-04  9.00004896e-01  2.32800000e-04  9.00004420e-01  2.32800000e-04  8.93120000e-01 
 2.42800000e-04  9.01053198e-01  2.42800000e-04  9.00006057e-01  2.42800000e-04  9.00005377e-01  2.42800000e-04  8.97120000e-01 
 2.52800000e-04  9.01053623e-01  2.52800000e-04  9.00007927e-01  2.52800000e-04  9.00007199e-01  2.52800000e-04  9.01120000e-01 
 2.62800000e-04  9.01054255e-01  2.62800000e-04  9.00041229e-01  2.62800000e-04  9.00028421e-01  2.62800000e-04  9.05120000e-01 
 2.72800000e-04  9.01059129e-01  2.72800000e-04  9.02438404e-01  2.72800000e-04  9.01550387e-01  2.72800000e-04  9.09120000e-01 
 2.82800000e-04  9.01074368e-01  2.82800000e-04  9.06482756e-01  2.82800000e-04  9.04968387e-01  2.82800000e-04  9.13120000e-01 
 2.92800000e-04  9.01101833e-01  2.92800000e-04  9.10247595e-01  2.92800000e-04  9.08449507e-01  2.92800000e-04  9.17120000e-01 
 3.02800000e-04  9.01141472e-01  3.02800000e-04  9.14176776e-01  3.02800000e-04  9.11784944e-01  3.02800000e-04  9.21120000e-01 
 3.12800000e-04  9.01193281e-01  3.12800000e-04  9.17983517e-01  3.12800000e-04  9.15157621e-01  3.12800000e-04  9.25120000e-01 
 3.22800000e-04  9.01257233e-01  3.22800000e-04  9.21844619e-01  3.22800000e-04  9.18424717e-01  3.22800000e-04  9.29120000e-01 
 3.32800000e-04  9.01333278e-01  3.32800000e-04  9.25647331e-01  3.32800000e-04  9.21675744e-01  3.32800000e-04  9.33120000e-01 
 3.42800000e-04  9.01421379e-01  3.42800000e-04  9.29452519e-01  3.42800000e-04  9.24845264e-01  3.42800000e-04  9.37120000e-01 
 3.52800000e-04  9.01521538e-01  3.52800000e-04  9.33222396e-01  3.52800000e-04  9.27966261e-01  3.52800000e-04  9.41120000e-01 
 3.62800000e-04  9.01633716e-01  3.62800000e-04  9.36968649e-01  3.62800000e-04  9.31011158e-01  3.62800000e-04  9.45120000e-01 
 3.72800000e-04  9.01757862e-01  3.72800000e-04  9.40682236e-01  3.72800000e-04  9.33987556e-01  3.72800000e-04  9.49120000e-01 
 3.82800000e-04  9.01893931e-01  3.82800000e-04  9.44357472e-01  3.82800000e-04  9.36883810e-01  3.82800000e-04  9.53120000e-01 
 3.92800000e-04  9.02041887e-01  3.92800000e-04  9.47993430e-01  3.92800000e-04  9.39698113e-01  3.92800000e-04  9.57120000e-01 
 4.02800000e-04  9.02201682e-01  4.02800000e-04  9.51580676e-01  4.02800000e-04  9.42424866e-01  4.02800000e-04  9.61120000e-01 
 4.12800000e-04  9.02373277e-01  4.12800000e-04  9.55119239e-01  4.12800000e-04  9.45060185e-01  4.12800000e-04  9.65120000e-01 
 4.22800000e-04  9.02556617e-01  4.22800000e-04  9.58600611e-01  4.22800000e-04  9.47600943e-01  4.22800000e-04  9.69120000e-01 
 4.32800000e-04  9.02751664e-01  4.32800000e-04  9.62024502e-01  4.32800000e-04  9.50044085e-01  4.32800000e-04  9.73120000e-01 
 4.42800000e-04  9.02958359e-01  4.42800000e-04  9.65384473e-01  4.42800000e-04  9.52388099e-01  4.42800000e-04  9.77120000e-01 
 4.52800000e-04  9.03176657e-01  4.52800000e-04  9.68680280e-01  4.52800000e-04  9.54631593e-01  4.52800000e-04  9.81120000e-01 
 4.62800000e-04  9.03406495e-01  4.62800000e-04  9.71907575e-01  4.62800000e-04  9.56774539e-01  4.62800000e-04  9.85120000e-01 
 4.72800000e-04  9.03647823e-01  4.72800000e-04  9.75066540e-01  4.72800000e-04  9.58817192e-01  4.72800000e-04  9.89120000e-01 
 4.82800000e-04  9.03900570e-01  4.82800000e-04  9.78154592e-01  4.82800000e-04  9.60760828e-01  4.82800000e-04  9.93120000e-01 
 4.92800000e-04  9.04164677e-01  4.92800000e-04  9.81172435e-01  4.92800000e-04  9.62607019e-01  4.92800000e-04  9.97120000e-01 
 5.00000000e-04  9.04361824e-01  5.00000000e-04  9.83300975e-01  5.00000000e-04  9.63877193e-01  5.00000000e-04  1.00000000e+00 
 5.00000100e-04  9.04361827e-01  5.00000100e-04  9.83301005e-01  5.00000100e-04  9.63877211e-01  5.00000100e-04  1.00000000e+00 
 5.00000300e-04  9.04361832e-01  5.00000300e-04  9.83301063e-01  5.00000300e-04  9.63877245e-01  5.00000300e-04  1.00000000e+00 
 5.00000700e-04  9.04361843e-01  5.00000700e-04  9.83301181e-01  5.00000700e-04  9.63877315e-01  5.00000700e-04  1.00000000e+00 
 5.00001000e-04  9.04361852e-01  5.00001000e-04  9.83301269e-01  5.00001000e-04  9.63877366e-01  5.00001000e-04  1.00000000e+00 
 5.00001080e-04  9.04361854e-01  5.00001080e-04  9.83301292e-01  5.00001080e-04  9.63877380e-01  5.00001080e-04  9.99999968e-01 
 5.00001240e-04  9.04361858e-01  5.00001240e-04  9.83301339e-01  5.00001240e-04  9.63877408e-01  5.00001240e-04  9.99999904e-01 
 5.00001560e-04  9.04361867e-01  5.00001560e-04  9.83301433e-01  5.00001560e-04  9.63877463e-01  5.00001560e-04  9.99999776e-01 
 5.00002200e-04  9.04361885e-01  5.00002200e-04  9.83301621e-01  5.00002200e-04  9.63877574e-01  5.00002200e-04  9.99999520e-01 
 5.00003480e-04  9.04361921e-01  5.00003480e-04  9.83301997e-01  5.00003480e-04  9.63877795e-01  5.00003480e-04  9.99999008e-01 
 5.00006040e-04  9.04361992e-01  5.00006040e-04  9.83302747e-01  5.00006040e-04  9.63878238e-01  5.00006040e-04  9.99997984e-01 
 5.00011160e-04  9.04362134e-01  5.00011160e-04  9.83304248e-01  5.00011160e-04  9.63879124e-01  5.00011160e-04  9.99995936e-01 
 5.00021400e-04  9.04362419e-01  5.00021400e-04  9.83307246e-01  5.00021400e-04  9.63880895e-01  5.00021400e-04  9.99991840e-01 
 5.00041880e-04  9.04362988e-01  5.00041880e-04  9.83313224e-01  5.00041880e-04  9.63884436e-01  5.00041880e-04  9.99983648e-01 
 5.00082840e-04  9.04364126e-01  5.00082840e-04  9.83325103e-01  5.00082840e-04  9.63891517e-01  5.00082840e-04  9.99967264e-01 
 5.00164760e-04  9.04366404e-01  5.00164760e-04  9.83348558e-01  5.00164760e-04  9.63905671e-01  5.00164760e-04  9.99934496e-01 
 5.00328600e-04  9.04370960e-01  5.00328600e-04  9.83394269e-01  5.00328600e-04  9.63933931e-01  5.00328600e-04  9.99868960e-01 
 5.00656280e-04  9.04380069e-01  5.00656280e-04  9.83481018e-01  5.00656280e-04  9.63990147e-01  5.00656280e-04  9.99737888e-01 
 5.01311640e-04  9.04398248e-01  5.01311640e-04  9.83636759e-01  5.01311640e-04  9.64100550e-01  5.01311640e-04  9.99475744e-01 
 5.02622360e-04  9.04434427e-01  5.02622360e-04  9.83883736e-01  5.02622360e-04  9.64308345e-01  5.02622360e-04  9.98951456e-01 
 5.05243800e-04  9.04506115e-01  5.05243800e-04  9.84160775e-01  5.05243800e-04  9.64649758e-01  5.05243800e-04  9.97902880e-01 
 5.10486680e-04  9.04646815e-01  5.10486680e-04  9.84068115e-01  5.10486680e-04  9.64990518e-01  5.10486680e-04  9.95805728e-01 
 5.20486680e-04  9.04905277e-01  5.20486680e-04  9.82383233e-01  5.20486680e-04  9.64565847e-01  5.20486680e-04  9.91805728e-01 
 5.30486680e-04  9.05150756e-01  5.30486680e-04  9.79548794e-01  5.30486680e-04  9.63162907e-01  5.30486680e-04  9.87805728e-01 
 5.40486680e-04  9.05383264e-01  5.40486680e-04  9.76192432e-01  5.40486680e-04  9.61230585e-01  5.40486680e-04  9.83805728e-01 
 5.50486680e-04  9.05602824e-01  5.50486680e-04  9.72612011e-01  5.50486680e-04  9.59015094e-01  5.50486680e-04  9.79805728e-01 
 5.60486680e-04  9.05809460e-01  5.60486680e-04  9.68941071e-01  5.60486680e-04  9.56631933e-01  5.60486680e-04  9.75805728e-01 
 5.70486680e-04  9.06003200e-01  5.70486680e-04  9.65237350e-01  5.70486680e-04  9.54135854e-01  5.70486680e-04  9.71805728e-01 
 5.80486680e-04  9.06184076e-01  5.80486680e-04  9.61534181e-01  5.80486680e-04  9.51557003e-01  5.80486680e-04  9.67805728e-01 
 5.90486680e-04  9.06352122e-01  5.90486680e-04  9.57865121e-01  5.90486680e-04  9.48922373e-01  5.90486680e-04  9.63805728e-01 
 6.00486680e-04  9.06507374e-01  6.00486680e-04  9.54277777e-01  6.00486680e-04  9.46268421e-01  6.00486680e-04  9.59805728e-01 
 6.10486680e-04  9.06649875e-01  6.10486680e-04  9.50833363e-01  6.10486680e-04  9.43645678e-01  6.10486680e-04  9.55805728e-01 
 6.20486680e-04  9.06779664e-01  6.20486680e-04  9.47576840e-01  6.20486680e-04  9.41104482e-01  6.20486680e-04  9.51805728e-01 
 6.30486680e-04  9.06896795e-01  6.30486680e-04  9.44517058e-01  6.30486680e-04  9.38672720e-01  6.30486680e-04  9.47805728e-01 
 6.40486680e-04  9.07001315e-01  6.40486680e-04  9.41645135e-01  6.40486680e-04  9.36356403e-01  6.40486680e-04  9.43805728e-01 
 6.50486680e-04  9.07093301e-01  6.50486680e-04  9.38950953e-01  6.50486680e-04  9.34155134e-01  6.50486680e-04  9.39805728e-01 
 6.60486680e-04  9.07172818e-01  6.60486680e-04  9.36424682e-01  6.60486680e-04  9.32067402e-01  6.60486680e-04  9.35805728e-01 
 6.70486680e-04  9.07239988e-01  6.70486680e-04  9.34056692e-01  6.70486680e-04  9.30090223e-01  6.70486680e-04  9.31805728e-01 
 6.80486680e-04  9.07294983e-01  6.80486680e-04  9.31837907e-01  6.80486680e-04  9.28221213e-01  6.80486680e-04  9.27805728e-01 
 6.90486680e-04  9.07339209e-01  6.90486680e-04  9.29760016e-01  6.90486680e-04  9.26456760e-01  6.90486680e-04  9.23805728e-01 
 7.00486680e-04  9.07376285e-01  7.00486680e-04  9.27814489e-01  7.00486680e-04  9.24793006e-01  7.00486680e-04  9.19805728e-01 
 7.10486680e-04  9.07409007e-01  7.10486680e-04  9.25993290e-01  7.10486680e-04  9.23225547e-01  7.10486680e-04  9.15805728e-01 
 7.20486680e-04  9.07437742e-01  7.20486680e-04  9.24288811e-01  7.20486680e-04  9.21750165e-01  7.20486680e-04  9.11805728e-01 
 7.30486680e-04  9.07462780e-01  7.30486680e-04  9.22694051e-01  7.30486680e-04  9.20363145e-01  7.30486680e-04  9.07805728e-01 
 7.40486680e-04  9.07484488e-01  7.40486680e-04  9.21202285e-01  7.40486680e-04  9.19059398e-01  7.40486680e-04  9.03805728e-01 
 7.50486680e-04  9.07503076e-01  7.50486680e-04  9.19807029e-01  7.50486680e-04  9.17834994e-01  7.50486680e-04  8.99805728e-01 
 7.60486680e-04  9.07518878e-01  7.60486680e-04  9.18502267e-01  7.60486680e-04  9.16685658e-01  7.60486680e-04  8.95805728e-01 
 7.70486680e-04  9.07532126e-01  7.70486680e-04  9.17282307e-01  7.70486680e-04  9.15607348e-01  7.70486680e-04  8.91805728e-01 
 7.80486680e-04  9.07543085e-01  7.80486680e-04  9.16141793e-01  7.80486680e-04  9.14596139e-01  7.80486680e-04  8.87805728e-01 
 7.90486680e-04  9.07551994e-01  7.90486680e-04  9.15075686e-01  7.90486680e-04  9.13648238e-01  7.90486680e-04  8.83805728e-01 
 8.00486680e-04  9.07559094e-01  8.00486680e-04  9.14079248e-01  8.00486680e-04  9.12760005e-01  8.00486680e-04  8.79805728e-01 
 8.10486680e-04  9.07564629e-01  8.10486680e-04  9.13148024e-01  8.10486680e-04  9.11927961e-01  8.10486680e-04  8.75805728e-01 
 8.20486680e-04  9.07568836e-01  8.20486680e-04  9.12277832e-01  8.20486680e-04  9.11148785e-01  8.20486680e-04  8.71805728e-01 
 8.30486680e-04  9.07571951e-01  8.30486680e-04  9.11464745e-01  8.30486680e-04  9.10419313e-01  8.30486680e-04  8.67805728e-01 
 8.40486680e-04  9.07574198e-01  8.40486680e-04  9.10705078e-01  8.40486680e-04  9.09736546e-01  8.40486680e-04  8.63805728e-01 
 8.50486680e-04  9.07575775e-01  8.50486680e-04  9.09995376e-01  8.50486680e-04  9.09097635e-01  8.50486680e-04  8.59805728e-01 
 8.60486680e-04  9.07576847e-01  8.60486680e-04  9.09332399e-01  8.60486680e-04  9.08499887e-01  8.60486680e-04  8.55805728e-01 
 8.70486680e-04  9.07577545e-01  8.70486680e-04  9.08713111e-01  8.70486680e-04  9.07940752e-01  8.70486680e-04  8.51805728e-01 
 8.80486680e-04  9.07577970e-01  8.80486680e-04  9.08134673e-01  8.80486680e-04  9.07417843e-01  8.80486680e-04  8.47805728e-01 
 8.90486680e-04  9.07578196e-01  8.90486680e-04  9.07594421e-01  8.90486680e-04  9.06928872e-01  8.90486680e-04  8.43805728e-01 
 9.00486680e-04  9.07578279e-01  9.00486680e-04  9.07089856e-01  9.00486680e-04  9.06471699e-01  9.00486680e-04  8.39805728e-01 
 9.10486680e-04  9.07578258e-01  9.10486680e-04  9.06618642e-01  9.10486680e-04  9.06044318e-01  9.10486680e-04  8.35805728e-01 
 9.20486680e-04  9.07578161e-01  9.20486680e-04  9.06178594e-01  9.20486680e-04  9.05644834e-01  9.20486680e-04  8.31805728e-01 
 9.30486680e-04  9.07578010e-01  9.30486680e-04  9.05767667e-01  9.30486680e-04  9.05271468e-01  9.30486680e-04  8.27805728e-01 
 9.40486680e-04  9.07577819e-01  9.40486680e-04  9.05383948e-01  9.40486680e-04  9.04922547e-01  9.40486680e-04  8.23805728e-01 
 9.50486680e-04  9.07577598e-01  9.50486680e-04  9.05025649e-01  9.50486680e-04  9.04596501e-01  9.50486680e-04  8.19805728e-01 
 9.60486680e-04  9.07577356e-01  9.60486680e-04  9.04691095e-01  9.60486680e-04  9.04291857e-01  9.60486680e-04  8.15805728e-01 
 9.70486680e-04  9.07577097e-01  9.70486680e-04  9.04378722e-01  9.70486680e-04  9.04007231e-01  9.70486680e-04  8.11805728e-01 
 9.80486680e-04  9.07576825e-01  9.80486680e-04  9.04087067e-01  9.80486680e-04  9.03741328e-01  9.80486680e-04  8.07805728e-01 
 9.90486680e-04  9.07576542e-01  9.90486680e-04  9.03814762e-01  9.90486680e-04  9.03492930e-01  9.90486680e-04  8.03805728e-01 
 1.00000100e-03  9.07576263e-01  1.00000100e-03  9.03572485e-01  1.00000100e-03  9.03271814e-01  1.00000100e-03  8.00000400e-01 
 1.00100100e-03  9.07576235e-01  1.00100100e-03  9.03548094e-01  1.00100100e-03  9.03249557e-01  1.00100100e-03  8.00400400e-01 
 1.00300100e-03  9.07576181e-01  1.00300100e-03  9.03499648e-01  1.00300100e-03  9.03205342e-01  1.00300100e-03  8.01200400e-01 
 1.00700100e-03  9.07576088e-01  1.00700100e-03  9.03404727e-01  1.00700100e-03  9.03118681e-01  1.00700100e-03  8.02800400e-01 
 1.01500100e-03  9.07575956e-01  1.01500100e-03  9.03222503e-01  1.01500100e-03  9.02952256e-01  1.01500100e-03  8.06000400e-01 
