 time            v(vin)          v(vout)         v(xenv.rect)   
 2.53869012e-04  9.49985227e-01  1.03789701e+00  9.50099231e-01 
 2.63869012e-04  9.49810279e-01  1.03789696e+00  9.49930651e-01 
 2.73869012e-04  9.49438752e-01  1.03789688e+00  9.49565593e-01 
 2.83869012e-04  9.48872114e-01  1.03789678e+00  9.49005589e-01 
 2.93869012e-04  9.48112600e-01  1.03789667e+00  9.48252945e-01 
 3.03869012e-04  9.47163207e-01  1.03789653e+00  9.47310739e-01 
 3.13869012e-04  9.46027682e-01  1.03789638e+00  9.46182805e-01 
 3.23869012e-04  9.44710508e-01  1.03789621e+00  9.44873729e-01 
 3.33869012e-04  9.43216881e-01  1.03789603e+00  9.43388828e-01 
 3.43869012e-04  9.41552697e-01  1.03789582e+00  9.41734143e-01 
 3.53869012e-04  9.39724524e-01  1.03789561e+00  9.39916419e-01 
 3.63869012e-04  9.37739576e-01  1.03789537e+00  9.37943095e-01 
 3.73869012e-04  9.35605687e-01  1.03789513e+00  9.35822293e-01 
 3.83869012e-04  9.33331278e-01  1.03789487e+00  9.33562811e-01 
 3.93869012e-04  9.30925327e-01  1.03789460e+00  9.31174138e-01 
 4.03869012e-04  9.28397327e-01  1.03789431e+00  9.28666482e-01 
 4.13869012e-04  9.25757256e-01  1.03789402e+00  9.26050847e-01 
 4.23869012e-04  9.23015533e-01  1.03789372e+00  9.23339194e-01 
 4.33869012e-04  9.20182978e-01  1.03789341e+00  9.20544773e-01 
 4.43869012e-04  9.17270770e-01  1.03789309e+00  9.17682810e-01 
 4.53869012e-04  9.14290403e-01  1.03789277e+00  9.14772037e-01 
 4.63869012e-04  9.11253637e-01  1.03789245e+00  9.11838342e-01 
 4.73869012e-04  9.08172459e-01  1.03789213e+00  9.08924299e-01 
 4.83869012e-04  9.05059027e-01  1.03789182e+00  9.06131059e-01 
 4.93869012e-04  9.01925630e-01  1.03789154e+00  9.03656412e-01 
 5.03869012e-04  8.98784634e-01  1.03789133e+00  9.01893092e-01 
 5.13869012e-04  8.95648434e-01  1.03789119e+00  9.00928916e-01 
 5.23869012e-04  8.92529407e-01  1.03789110e+00  9.00445905e-01 
 5.31365369e-04  8.90209939e-01  1.03789105e+00  9.00168939e-01 
 5.38597898e-04  8.87992627e-01  1.03789092e+00  8.99136559e-01 
 5.43872393e-04  8.86390974e-01  1.03789060e+00  8.96055560e-01 
 5.50398304e-04  8.84430192e-01  1.03789042e+00  8.94489314e-01 
 5.56065451e-04  8.82748553e-01  1.03789056e+00  8.96196413e-01 
 5.62376706e-04  8.80901620e-01  1.03789069e+00  8.97776211e-01 
 5.69143452e-04  8.78954825e-01  1.03789073e+00  8.98554511e-01 
 5.77038241e-04  8.76731812e-01  1.03789073e+00  8.98902797e-01 
 5.86097458e-04  8.74251773e-01  1.03789071e+00  8.99033076e-01 
 5.96097458e-04  8.71611344e-01  1.03789067e+00  8.99085708e-01 
 6.06097458e-04  8.69082951e-01  1.03789063e+00  8.99127292e-01 
 6.16097458e-04  8.66676574e-01  1.03789060e+00  8.99177177e-01 
 6.26097458e-04  8.64401710e-01  1.03789056e+00  8.99233911e-01 
 6.36097458e-04  8.62267335e-01  1.03789052e+00  8.99293476e-01 
 6.46097458e-04  8.60281874e-01  1.03789049e+00  8.99353857e-01 
 6.56097458e-04  8.58453163e-01  1.03789045e+00  8.99414857e-01 
 6.66097458e-04  8.56788418e-01  1.03789042e+00  8.99477178e-01 
 6.76097458e-04  8.55294209e-01  1.03789038e+00  8.99541822e-01 
 6.86097458e-04  8.53976433e-01  1.03789034e+00  8.99609759e-01 
 6.96097458e-04  8.52840292e-01  1.03789031e+00  8.99681620e-01 
 7.06097458e-04  8.51890268e-01  1.03789027e+00  8.99757340e-01 
 7.16097458e-04  8.51130112e-01  1.03789024e+00  8.99835853e-01 
 7.26097458e-04  8.50562823e-01  1.03789021e+00  8.99915067e-01 
 7.36097458e-04  8.50190639e-01  1.03789017e+00  8.99992264e-01 
 7.46097458e-04  8.50015030e-01  1.03789014e+00  9.00064176e-01 
 7.56097458e-04  8.50036690e-01  1.03789010e+00  9.00130179e-01 
 7.66097458e-04  8.50255531e-01  1.03789006e+00  9.00189499e-01 
 7.76097458e-04  8.50670692e-01  1.03789003e+00  9.00242549e-01 
 7.86097458e-04  8.51280532e-01  1.03788999e+00  9.00290661e-01 
 7.96097458e-04  8.52082646e-01  1.03788995e+00  9.00335544e-01 
 8.06097458e-04  8.53073868e-01  1.03788991e+00  9.00378867e-01 
 8.16097458e-04  8.54250286e-01  1.03788988e+00  9.00422019e-01 
 8.26097458e-04  8.55607257e-01  1.03788984e+00  9.00466016e-01 
 8.36097458e-04  8.57139426e-01  1.03788980e+00  9.00511508e-01 
 8.46097458e-04  8.58840746e-01  1.03788976e+00  9.00558820e-01 
 8.56097458e-04  8.60704503e-01  1.03788973e+00  9.00608031e-01 
 8.66097458e-04  8.62723341e-01  1.03788969e+00  9.00659053e-01 
 8.76097458e-04  8.64889293e-01  1.03788965e+00  9.00711728e-01 
 8.86097458e-04  8.67193811e-01  1.03788962e+00  9.00765926e-01 
 8.96097458e-04  8.69627801e-01  1.03788958e+00  9.00821637e-01 
 9.06097458e-04  8.72181655e-01  1.03788954e+00  9.00879069e-01 
 9.16097458e-04  8.74845296e-01  1.03788951e+00  9.00938738e-01 
 9.26097458e-04  8.77608210e-01  1.03788947e+00  9.01001604e-01 
 9.36097458e-04  8.80459495e-01  1.03788944e+00  9.01069264e-01 
 9.46097458e-04  8.83387898e-01  1.03788940e+00  9.01144311e-01 
 9.56097458e-04  8.86381860e-01  1.03788937e+00  9.01230983e-01 
 9.66097458e-04  8.89429568e-01  1.03788934e+00  9.01336413e-01 
 9.76097458e-04  8.92518992e-01  1.03788931e+00  9.01472895e-01 
 9.86097458e-04  8.95637940e-01  1.03788928e+00  9.01661431e-01 
 9.96097458e-04  8.98774103e-01  1.03788927e+00  9.01939952e-01 
 1.00609746e-03  9.01915104e-01  1.03788926e+00  9.02261544e-01 
 1.01609746e-03  9.05048547e-01  1.03788919e+00  9.02048979e-01 
 1.02609746e-03  9.08162066e-01  1.03788905e+00  9.00986025e-01 
 1.03283193e-03  9.10241455e-01  1.03788897e+00  9.00433062e-01 
 1.03970414e-03  9.12344444e-01  1.03788892e+00  9.00218225e-01 
 1.04443303e-03  9.13778420e-01  1.03788893e+00  9.00577748e-01 
 1.04971920e-03  9.15366927e-01  1.03788970e+00  9.08756651e-01 
 1.05481442e-03  9.16882030e-01  1.03789052e+00  9.17564913e-01 
 1.05881408e-03  9.18059315e-01  1.03789073e+00  9.19919779e-01 
 1.06346633e-03  9.19414289e-01  1.03789091e+00  9.21980476e-01 
 1.06895403e-03  9.20991180e-01  1.03789084e+00  9.21535303e-01 
 1.07610570e-03  9.23008481e-01  1.03789083e+00  9.21688141e-01 
 1.08444889e-03  9.25302892e-01  1.03789109e+00  9.24832849e-01 
 1.09427858e-03  9.27916431e-01  1.03789137e+00  9.28187563e-01 
 1.10427858e-03  9.30465958e-01  1.03789156e+00  9.30529355e-01 
 1.11427858e-03  9.32895249e-01  1.03789174e+00  9.32831833e-01 
 1.12427858e-03  9.35194718e-01  1.03789192e+00  9.35194229e-01 
 1.13427858e-03  9.37355289e-01  1.03789209e+00  9.37387735e-01 
 1.14427858e-03  9.39368436e-01  1.03789224e+00  9.39401726e-01 
 1.15427858e-03  9.41226214e-01  1.03789238e+00  9.41266365e-01 
 1.16427858e-03  9.42921290e-01  1.03789251e+00  9.42972347e-01 
 1.17427858e-03  9.44446976e-01  1.03789261e+00  9.44506734e-01 
 1.18427858e-03  9.45797251e-01  1.03789270e+00  9.45864531e-01 
 1.19427858e-03  9.46966784e-01  1.03789278e+00  9.47041458e-01 
 1.20427858e-03  9.47950961e-01  1.03789283e+00  9.48032747e-01 
 1.21427858e-03  9.48745897e-01  1.03789287e+00  9.48834466e-01 
 1.22427858e-03  9.49348456e-01  1.03789288e+00  9.49443595e-01 
 1.23427858e-03  9.49756258e-01  1.03789288e+00  9.49857834e-01 
 1.24427858e-03  9.49967696e-01  1.03789286e+00  9.50075626e-01 
 1.25427858e-03  9.49981934e-01  1.03789282e+00  9.50096196e-01 
 1.26427858e-03  9.49798915e-01  1.03789276e+00  9.49919550e-01 
