 1.00000000e+00  8.22814482e+01  1.00000000e+00 -3.91205125e-01 
 1.01157945e+00  8.22814435e+01  1.01157945e+00 -3.95762209e-01 
 1.02329299e+00  8.22814386e+01  1.02329299e+00 -4.00371745e-01 
 1.03514217e+00  8.22814337e+01  1.03514217e+00 -4.05034342e-01 
 1.04712855e+00  8.22814286e+01  1.04712855e+00 -4.09750619e-01 
 1.05925373e+00  8.22814234e+01  1.05925373e+00 -4.14521200e-01 
 1.07151931e+00  8.22814181e+01  1.07151931e+00 -4.19346718e-01 
 1.08392691e+00  8.22814126e+01  1.08392691e+00 -4.24227812e-01 
 1.09647820e+00  8.22814070e+01  1.09647820e+00 -4.29165129e-01 
 1.10917482e+00  8.22814013e+01  1.10917482e+00 -4.34159323e-01 
 1.12201845e+00  8.22813955e+01  1.12201845e+00 -4.39211054e-01 
 1.13501082e+00  8.22813895e+01  1.13501082e+00 -4.44320994e-01 
 1.14815362e+00  8.22813834e+01  1.14815362e+00 -4.49489819e-01 
 1.16144861e+00  8.22813772e+01  1.16144861e+00 -4.54718213e-01 
 1.17489755e+00  8.22813708e+01  1.17489755e+00 -4.60006869e-01 
 1.18850223e+00  8.22813642e+01  1.18850223e+00 -4.65356488e-01 
 1.20226443e+00  8.22813575e+01  1.20226443e+00 -4.70767779e-01 
 1.21618600e+00  8.22813507e+01  1.21618600e+00 -4.76241458e-01 
 1.23026877e+00  8.22813436e+01  1.23026877e+00 -4.81778250e-01 
 1.24451461e+00  8.22813365e+01  1.24451461e+00 -4.87378890e-01 
 1.25892541e+00  8.22813291e+01  1.25892541e+00 -4.93044119e-01 
 1.27350308e+00  8.22813216e+01  1.27350308e+00 -4.98774687e-01 
 1.28824955e+00  8.22813139e+01  1.28824955e+00 -5.04571354e-01 
 1.30316678e+00  8.22813060e+01  1.30316678e+00 -5.10434887e-01 
 1.31825674e+00  8.22812980e+01  1.31825674e+00 -5.16366064e-01 
 1.33352143e+00  8.22812897e+01  1.33352143e+00 -5.22365669e-01 
 1.34896288e+00  8.22812813e+01  1.34896288e+00 -5.28434498e-01 
 1.36458314e+00  8.22812727e+01  1.36458314e+00 -5.34573355e-01 
 1.38038426e+00  8.22812638e+01  1.38038426e+00 -5.40783052e-01 
 1.39636836e+00  8.22812548e+01  1.39636836e+00 -5.47064412e-01 
 1.41253754e+00  8.22812455e+01  1.41253754e+00 -5.53418267e-01 
 1.42889396e+00  8.22812361e+01  1.42889396e+00 -5.59845459e-01 
 1.44543977e+00  8.22812264e+01  1.44543977e+00 -5.66346839e-01 
 1.46217717e+00  8.22812165e+01  1.46217717e+00 -5.72923268e-01 
 1.47910839e+00  8.22812063e+01  1.47910839e+00 -5.79575617e-01 
 1.49623566e+00  8.22811959e+01  1.49623566e+00 -5.86304767e-01 
 1.51356125e+00  8.22811853e+01  1.51356125e+00 -5.93111609e-01 
 1.53108746e+00  8.22811744e+01  1.53108746e+00 -5.99997045e-01 
 1.54881662e+00  8.22811633e+01  1.54881662e+00 -6.06961986e-01 
 1.56675107e+00  8.22811519e+01  1.56675107e+00 -6.14007356e-01 
 1.58489319e+00  8.22811403e+01  1.58489319e+00 -6.21134086e-01 
 1.60324539e+00  8.22811284e+01  1.60324539e+00 -6.28343122e-01 
 1.62181010e+00  8.22811162e+01  1.62181010e+00 -6.35635416e-01 
 1.64058977e+00  8.22811037e+01  1.64058977e+00 -6.43011936e-01 
 1.65958691e+00  8.22810909e+01  1.65958691e+00 -6.50473657e-01 
 1.67880402e+00  8.22810779e+01  1.67880402e+00 -6.58021569e-01 
 1.69824365e+00  8.22810645e+01  1.69824365e+00 -6.65656670e-01 
 1.71790839e+00  8.22810508e+01  1.71790839e+00 -6.73379970e-01 
 1.73780083e+00  8.22810368e+01  1.73780083e+00 -6.81192494e-01 
 1.75792361e+00  8.22810225e+01  1.75792361e+00 -6.89095275e-01 
 1.77827941e+00  8.22810078e+01  1.77827941e+00 -6.97089359e-01 
