 2.00000000e-08  6.38259742e+00  2.00000000e-08  5.08150832e+00  2.00000000e-08  6.81395088e+00  2.00000000e-08  3.18131632e+00 
 2.05553131e-08  6.37024347e+00  2.05553131e-08  5.06222501e+00  2.05553131e-08  6.81750336e+00  2.05553131e-08  3.18109226e+00 
 2.16659394e-08  6.34439914e+00  2.16659394e-08  5.03464477e+00  2.16659394e-08  6.82305084e+00  2.16659394e-08  3.18031283e+00 
 2.38871919e-08  6.29215281e+00  2.38871919e-08  5.00740648e+00  2.38871919e-08  6.82834754e+00  2.38871919e-08  3.17982925e+00 
 2.67055461e-08  6.23178713e+00  2.67055461e-08  4.99394280e+00  2.67055461e-08  6.83059702e+00  2.67055461e-08  3.18075055e+00 
 3.18777780e-08  6.14081205e+00  3.18777780e-08  4.97893656e+00  3.18777780e-08  6.83292463e+00  3.18777780e-08  3.18335715e+00 
 3.85075765e-08  6.04709101e+00  3.85075765e-08  4.95861523e+00  3.85075765e-08  6.83602500e+00  3.85075765e-08  3.18679070e+00 
 5.17671734e-08  5.87532895e+00  5.17671734e-08  4.91046891e+00  5.17671734e-08  6.84285057e+00  5.17671734e-08  3.19363056e+00 
 6.70720566e-08  5.65304291e+00  6.70720566e-08  4.84582545e+00  6.70720566e-08  6.85090782e+00  6.70720566e-08  3.20178103e+00 
 8.94377420e-08  5.23662353e+00  8.94377420e-08  4.73278974e+00  8.94377420e-08  6.86267375e+00  8.94377420e-08  3.21424206e+00 
 1.18823942e-07  4.49359756e+00  1.18823942e-07  4.54292716e+00  1.18823942e-07  6.87777097e+00  1.18823942e-07  3.23135242e+00 
 1.48225006e-07  3.50863263e+00  1.48225006e-07  4.29432251e+00  1.48225006e-07  6.89192483e+00  1.48225006e-07  3.24884091e+00 
 1.79466224e-07  2.17245821e+00  1.79466224e-07  3.95495887e+00  1.79466224e-07  6.90527909e+00  1.79466224e-07  3.26734693e+00 
 2.13594951e-07  3.50482620e-01  2.13594951e-07  3.49495527e+00  2.13594951e-07  6.91728459e+00  2.13594951e-07  3.28743548e+00 
 2.35203849e-07 -7.14780087e-01  2.35203849e-07  3.16089166e+00  2.35203849e-07  6.92349934e+00  2.35203849e-07  3.30024121e+00 
 2.54755227e-07 -8.15160195e-01  2.54755227e-07  2.83441888e+00  2.54755227e-07  6.92839218e+00  2.54755227e-07  3.31233492e+00 
 2.72348973e-07 -8.12963995e-01  2.72348973e-07  2.52324842e+00  2.72348973e-07  6.93198015e+00  2.72348973e-07  3.32383697e+00 
 2.90903990e-07 -8.24735993e-01  2.90903990e-07  2.18770256e+00  2.90903990e-07  6.93518372e+00  2.90903990e-07  3.33721634e+00 
 3.28014024e-07 -8.79058374e-01  3.28014024e-07  1.59124348e+00  3.28014024e-07  6.93963332e+00  3.28014024e-07  3.37217321e+00 
 3.71848376e-07 -9.71106935e-01  3.71848376e-07  1.21565650e+00  3.71848376e-07  6.94185785e+00  3.71848376e-07  3.43380552e+00 
 4.16690798e-07 -1.07044912e+00  4.16690798e-07  1.01717465e+00  4.16690798e-07  6.94287861e+00  4.16690798e-07  3.51710032e+00 
 4.65013807e-07 -1.17706648e+00  4.65013807e-07  8.66117765e-01  4.65013807e-07  6.94359152e+00  4.65013807e-07  3.61887497e+00 
 5.17676428e-07 -1.28061232e+00  5.17676428e-07  7.37000004e-01  5.17676428e-07  6.94416790e+00  5.17676428e-07  3.73740990e+00 
 6.19546845e-07 -1.37080767e+00  6.19546845e-07  5.58708395e-01  6.19546845e-07  6.94491810e+00  6.19546845e-07  3.96357562e+00 
 7.49985014e-07 -1.39975463e+00  7.49985014e-07  4.67821600e-01  7.49985014e-07  6.94528154e+00  7.49985014e-07  4.11481865e+00 
 8.50850849e-07 -1.40091825e+00  8.50850849e-07  5.91585045e-01  8.50850849e-07  6.94479665e+00  8.50850849e-07  3.91354519e+00 
 9.12268751e-07 -1.34440934e+00  9.12268751e-07  9.43569882e-01  9.12268751e-07  6.94327282e+00  9.12268751e-07  3.55825668e+00 
 9.46350943e-07 -1.02265545e+00  9.46350943e-07  2.19786128e+00  9.46350943e-07  6.93539112e+00  9.46350943e-07  3.31698052e+00 
 9.74315261e-07 -9.07976252e-01  9.74315261e-07  5.08287223e+00  9.74315261e-07  6.81624628e+00  9.74315261e-07  3.12157917e+00 
 9.84238524e-07 -9.04596773e-01  9.84238524e-07  5.52675526e+00  9.84238524e-07  6.38282388e+00  9.84238524e-07  3.01042187e+00 
 9.90123682e-07  6.93478450e+00  9.90123682e-07  5.62782569e+00  9.90123682e-07  5.89991926e+00  9.90123682e-07  2.97026175e+00 
 9.92215340e-07  6.99860891e+00  9.92215340e-07  5.60124715e+00  9.92215340e-07  5.84865256e+00  9.92215340e-07  2.99129985e+00 
 9.93355829e-07  6.99912799e+00  9.93355829e-07  5.58778013e+00  9.93355829e-07  5.91214360e+00  9.93355829e-07  3.00070533e+00 
 9.94627932e-07  6.99262542e+00  9.94627932e-07  5.57967873e+00  9.94627932e-07  5.99163027e+00  9.94627932e-07  3.00139311e+00 
 9.95998444e-07  6.97793674e+00  9.95998444e-07  5.58105964e+00  9.95998444e-07  6.02155410e+00  9.95998444e-07  2.99481627e+00 
 9.97618275e-07  6.98086350e+00  9.97618275e-07  5.59058085e+00  9.97618275e-07  5.98381434e+00  9.97618275e-07  2.98640929e+00 
 9.99149743e-07  6.98930432e+00  9.99149743e-07  5.59727158e+00  9.99149743e-07  5.92872375e+00  9.99149743e-07  2.98478274e+00 
 1.00113863e-06  6.99484764e+00  1.00113863e-06  5.59609530e+00  1.00113863e-06  5.90687120e+00  1.00113863e-06  2.98989710e+00 
 1.00301105e-06  6.99474942e+00  1.00301105e-06  5.59142826e+00  1.00301105e-06  5.92929622e+00  1.00301105e-06  2.99322529e+00 
 1.00516177e-06  6.99020926e+00  1.00516177e-06  5.58977379e+00  1.00516177e-06  5.95102158e+00  1.00516177e-06  2.99224924e+00 
 1.00778892e-06  6.99112335e+00  1.00778892e-06  5.59302730e+00  1.00778892e-06  5.94084636e+00  1.00778892e-06  2.98884960e+00 
 1.01114845e-06  6.99131652e+00  1.01114845e-06  5.59476968e+00  1.01114845e-06  5.92258912e+00  1.01114845e-06  2.98891953e+00 
 1.01470358e-06  6.99180565e+00  1.01470358e-06  5.59429895e+00  1.01470358e-06  5.92089654e+00  1.01470358e-06  2.98974107e+00 
 1.02181384e-06  6.99200546e+00  1.02181384e-06  5.59515911e+00  1.02181384e-06  5.91590099e+00  1.02181384e-06  2.98888547e+00 
