 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 2.09488529e-07  2.51386234e+00  2.09488529e-07  1.10784278e+00  2.09488529e-07  9.70505150e-01  2.09488529e-07  2.51090109e+00 
 2.19488529e-07  2.63386234e+00  2.19488529e-07  1.29268095e+00  2.19488529e-07  1.01925055e+00  2.19488529e-07  2.63169712e+00 
 2.29488529e-07  2.75386234e+00  2.29488529e-07  1.50810773e+00  2.29488529e-07  1.06925179e+00  2.29488529e-07  2.75277508e+00 
 2.39488529e-07  2.87386234e+00  2.39488529e-07  1.74986988e+00  2.39488529e-07  1.12990985e+00  2.39488529e-07  2.87336798e+00 
 2.48391302e-07  2.98069563e+00  2.48391302e-07  1.97767318e+00  2.48391302e-07  1.20899159e+00  2.48391302e-07  2.98050550e+00 
 2.57480624e-07  3.08976749e+00  2.57480624e-07  2.21780698e+00  2.57480624e-07  1.27203720e+00  2.57480624e-07  3.08969689e+00 
 2.66353815e-07  3.19624578e+00  2.66353815e-07  2.46520711e+00  2.66353815e-07  1.30297697e+00  2.66353815e-07  3.19654313e+00 
 2.75555182e-07  3.30666218e+00  2.75555182e-07  2.73426088e+00  2.75555182e-07  1.31307345e+00  2.75555182e-07  3.30712882e+00 
 2.84622703e-07  3.41547243e+00  2.84622703e-07  2.99915968e+00  2.84622703e-07  1.25773149e+00  2.84622703e-07  3.41542378e+00 
 2.91161739e-07  3.49394087e+00  2.91161739e-07  3.16979388e+00  2.91161739e-07  1.35274660e+00  2.91161739e-07  3.49339300e+00 
 2.96937304e-07  3.56324765e+00  2.96937304e-07  3.28759266e+00  2.96937304e-07  1.60993200e+00  2.96937304e-07  3.56183726e+00 
 3.02369247e-07  3.62843097e+00  3.02369247e-07  3.37289580e+00  3.02369247e-07  1.80748336e+00  3.02369247e-07  3.62618322e+00 
 3.10087446e-07  3.72104935e+00  3.10087446e-07  3.48132116e+00  3.10087446e-07  1.86023427e+00  3.10087446e-07  3.71825241e+00 
 3.18946931e-07  3.82736318e+00  3.18946931e-07  3.61070202e+00  3.18946931e-07  1.80638695e+00  3.18946931e-07  3.82490652e+00 
 3.28052096e-07  3.93662515e+00  3.28052096e-07  3.74867132e+00  3.28052096e-07  1.76811614e+00  3.28052096e-07  3.93412633e+00 
 3.38052096e-07  4.05662515e+00  3.38052096e-07  3.89666386e+00  3.38052096e-07  1.73740345e+00  3.38052096e-07  4.05421234e+00 
 3.48052096e-07  4.17662515e+00  3.48052096e-07  4.03758607e+00  3.48052096e-07  1.72568057e+00  3.48052096e-07  4.17412367e+00 
 3.58052096e-07  4.29662515e+00  3.58052096e-07  4.17222997e+00  3.58052096e-07  1.71074938e+00  3.58052096e-07  4.29418074e+00 
 3.68052096e-07  4.41662515e+00  3.68052096e-07  4.30274687e+00  3.68052096e-07  1.70196508e+00  3.68052096e-07  4.41414888e+00 
 3.78052096e-07  4.53662515e+00  3.78052096e-07  4.43053506e+00  3.78052096e-07  1.69548055e+00  3.78052096e-07  4.53422680e+00 
 3.88052096e-07  4.65662515e+00  3.88052096e-07  4.55657366e+00  3.88052096e-07  1.69379446e+00  3.88052096e-07  4.65419709e+00 
 3.98052096e-07  4.77662515e+00  3.98052096e-07  4.68141359e+00  3.98052096e-07  1.69687277e+00  3.98052096e-07  4.77427638e+00 
 4.08052096e-07  4.89662515e+00  4.08052096e-07  4.80541708e+00  4.08052096e-07  1.70266638e+00  4.08052096e-07  4.89421634e+00 
 4.18052096e-07  5.01662515e+00  4.18052096e-07  4.92881615e+00  4.18052096e-07  1.71202561e+00  4.18052096e-07  5.01427051e+00 
 4.28052096e-07  5.13662515e+00  4.28052096e-07  5.05176373e+00  4.28052096e-07  1.72227806e+00  4.28052096e-07  5.13414797e+00 
 4.38052096e-07  5.25662515e+00  4.38052096e-07  5.17437329e+00  4.38052096e-07  1.73389102e+00  4.38052096e-07  5.25412133e+00 
 4.48052096e-07  5.37662515e+00  4.48052096e-07  5.29671641e+00  4.48052096e-07  1.74508330e+00  4.48052096e-07  5.37385725e+00 
 4.58052096e-07  5.49662515e+00  4.58052096e-07  5.41885061e+00  4.58052096e-07  1.75580094e+00  4.58052096e-07  5.49361482e+00 
 4.68052096e-07  5.61662515e+00  4.68052096e-07  5.54081095e+00  4.68052096e-07  1.76535564e+00  4.68052096e-07  5.61301104e+00 
 4.78052096e-07  5.73662515e+00  4.78052096e-07  5.66262500e+00  4.78052096e-07  1.77357274e+00  4.78052096e-07  5.73226412e+00 
 4.88052096e-07  5.85662515e+00  4.88052096e-07  5.78431001e+00  4.88052096e-07  1.78051922e+00  4.88052096e-07  5.85094891e+00 
 4.98052096e-07  5.97662515e+00  4.98052096e-07  5.90587892e+00  4.98052096e-07  1.78615034e+00  4.98052096e-07  5.96926053e+00 
 5.08052096e-07  6.09662515e+00  5.08052096e-07  6.02734152e+00  5.08052096e-07  1.79081199e+00  5.08052096e-07  6.08677729e+00 
 5.18052096e-07  6.21662515e+00  5.18052096e-07  6.14870558e+00  5.18052096e-07  1.79457867e+00  5.18052096e-07  6.20371162e+00 
 5.28052096e-07  6.33662515e+00  5.28052096e-07  6.26997853e+00  5.28052096e-07  1.79776668e+00  5.28052096e-07  6.31966963e+00 
 5.38052096e-07  6.45662515e+00  5.38052096e-07  6.39116676e+00  5.38052096e-07  1.80052304e+00  5.38052096e-07  6.43487282e+00 
 5.48052096e-07  6.57662515e+00  5.48052096e-07  6.51227620e+00  5.48052096e-07  1.80318788e+00  5.48052096e-07  6.54894583e+00 
 5.58052096e-07  6.69662515e+00  5.58052096e-07  6.63331083e+00  5.58052096e-07  1.80634879e+00  5.58052096e-07  6.66217026e+00 
 5.68052096e-07  6.81662515e+00  5.68052096e-07  6.75427511e+00  5.68052096e-07  1.81007299e+00  5.68052096e-07  6.77391966e+00 
 5.78052096e-07  6.93662515e+00  5.78052096e-07  6.87517664e+00  5.78052096e-07  1.81395942e+00  5.78052096e-07  6.88438060e+00 
 5.88052096e-07  7.05662515e+00  5.88052096e-07  6.99602282e+00  5.88052096e-07  1.81791540e+00  5.88052096e-07  6.99324948e+00 
 5.98052096e-07  7.17662515e+00  5.98052096e-07  7.11681876e+00  5.98052096e-07  1.82194461e+00  5.98052096e-07  7.10073165e+00 
 6.08052096e-07  7.29662515e+00  6.08052096e-07  7.23756865e+00  6.08052096e-07  1.82602670e+00  6.08052096e-07  7.20649930e+00 
 6.18052096e-07  7.41662515e+00  6.18052096e-07  7.35827623e+00  6.18052096e-07  1.83017936e+00  6.18052096e-07  7.31079028e+00 
 6.28052096e-07  7.53662515e+00  6.28052096e-07  7.47894476e+00  6.28052096e-07  1.83438542e+00  6.28052096e-07  7.41333701e+00 
 6.38052096e-07  7.65662515e+00  6.38052096e-07  7.59957725e+00  6.38052096e-07  1.83866081e+00  6.38052096e-07  7.51447436e+00 
 6.48052096e-07  7.77662515e+00  6.48052096e-07  7.72017632e+00  6.48052096e-07  1.84299777e+00  6.48052096e-07  7.61407951e+00 
 6.58052096e-07  7.89662515e+00  6.58052096e-07  7.84074439e+00  6.58052096e-07  1.84740813e+00  6.58052096e-07  7.71270380e+00 
 6.68052096e-07  8.01662515e+00  6.68052096e-07  7.96128359e+00  6.68052096e-07  1.85189184e+00  6.68052096e-07  7.81054035e+00 
 6.78052096e-07  8.13662515e+00  6.78052096e-07  8.08179591e+00  6.78052096e-07  1.85645924e+00  6.78052096e-07  7.90860337e+00 
 6.88052096e-07  8.25662515e+00  6.88052096e-07  8.20228309e+00  6.88052096e-07  1.86111405e+00  6.88052096e-07  8.00775947e+00 
 6.98052096e-07  8.37662515e+00  6.98052096e-07  8.32274680e+00  6.98052096e-07  1.86586716e+00  6.98052096e-07  8.10999068e+00 
 7.08052096e-07  8.49662515e+00  7.08052096e-07  8.44318849e+00  7.08052096e-07  1.87072309e+00  7.08052096e-07  8.21752371e+00 
 7.18052096e-07  8.61662515e+00  7.18052096e-07  8.56360957e+00  7.18052096e-07  1.87569418e+00  7.18052096e-07  8.33417176e+00 
 7.28052096e-07  8.73662515e+00  7.28052096e-07  8.68401125e+00  7.28052096e-07  1.88078611e+00  7.28052096e-07  8.46439699e+00 
 7.38052096e-07  8.85662515e+00  7.38052096e-07  8.80439475e+00  7.38052096e-07  1.88601896e+00  7.38052096e-07  8.61442765e+00 
