 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.82969376e-07  2.19563252e+00  1.82969376e-07  2.45165452e-04  1.82969376e-07  1.94671562e+00  1.82969376e-07  7.52857501e-04  1.82969376e-07  2.18977948e+00  1.82969376e-07  1.42880290e-03 
 2.04011673e-07  2.44814008e+00  2.04011673e-07  2.51959807e-04  2.04011673e-07  2.19169381e+00  2.04011673e-07  7.60495528e-04  2.04011673e-07  2.45228616e+00  2.04011673e-07  1.57840409e-03 
 2.35950980e-07  2.83141176e+00  2.35950980e-07  2.62188026e-04  2.35950980e-07  2.56661496e+00  2.35950980e-07  8.70702829e-04  2.35950980e-07  2.82731858e+00  2.35950980e-07  1.79146798e-03 
 2.77304289e-07  3.32765146e+00  2.77304289e-07  2.75122145e-04  2.77304289e-07  3.05572549e+00  2.77304289e-07  9.06212518e-04  2.77304289e-07  3.33052706e+00  2.77304289e-07  2.04368089e-03 
 3.60010906e-07  4.32013087e+00  3.60010906e-07  2.99748539e-04  3.60010906e-07  4.03849160e+00  3.60010906e-07  1.53985443e-03  3.60010906e-07  4.31741728e+00  3.60010906e-07  2.48307007e-03 
 4.47019755e-07  5.36423706e+00  4.47019755e-07  3.27963116e-04  4.47019755e-07  5.03299709e+00  4.47019755e-07  9.30139803e-03  4.47019755e-07  5.36619202e+00  4.47019755e-07  2.87722188e-03 
 5.29207772e-07  6.35049327e+00  5.29207772e-07  3.66156651e-04  5.29207772e-07  5.85636706e+00  5.29207772e-07  3.02064589e-02  5.29207772e-07  6.34838771e+00  5.29207772e-07  3.21304438e-03 
 5.97111392e-07  7.16533670e+00  5.97111392e-07  6.85573921e-04  5.97111392e-07  6.41623873e+00  5.97111392e-07  6.06033872e-02  5.97111392e-07  7.16724840e+00  5.97111392e-07  3.47871193e-03 
 6.48427889e-07  7.78113466e+00  6.48427889e-07  9.38129450e-03  6.48427889e-07  6.83342114e+00  6.48427889e-07  1.00677954e-01  6.48427889e-07  2.05212387e-03  6.48427889e-07  3.60352423e-03 
 6.77517384e-07  8.13020861e+00  6.77517384e-07  4.07272932e-02  6.77517384e-07  7.02029069e+00  6.77517384e-07  1.52684095e-01  6.77517384e-07 -1.79009908e-03  6.77517384e-07  3.63524877e-03 
 7.07297761e-07  8.48757313e+00  7.07297761e-07  1.36960138e-01  7.07297761e-07  7.22771369e+00  7.07297761e-07  2.63753616e-01  7.07297761e-07  1.89053614e-03  7.07297761e-07  3.67978905e-03 
 7.40882155e-07  8.89058586e+00  7.40882155e-07  3.48115477e-01  7.40882155e-07  7.51150968e+00  7.40882155e-07  4.84537713e-01  7.40882155e-07 -1.74143889e-03  7.40882155e-07  3.74811921e-03 
 7.75069034e-07  9.30082841e+00  7.75069034e-07  6.54506911e-01  7.75069034e-07  7.86657164e+00  7.75069034e-07  7.79886428e-01  7.75069034e-07  1.83072262e-03  7.75069034e-07  3.83345272e-03 
 8.07370356e-07  9.68844427e+00  8.07370356e-07  9.93377810e-01  8.07370356e-07  8.23127338e+00  8.07370356e-07  9.54300448e-01  8.07370356e-07 -1.71442871e-03  8.07370356e-07  3.91811899e-03 
 8.40143825e-07  1.00817259e+01  8.40143825e-07  1.37267203e+00  8.40143825e-07  8.58479724e+00  8.40143825e-07  1.10848224e+00  8.40143825e-07  1.79092645e-03  8.40143825e-07  4.04318014e-03 
 8.65589170e-07  1.03870700e+01  8.65589170e-07  1.69197319e+00  8.65589170e-07  8.85332580e+00  8.65589170e-07  1.26715536e+00  8.65589170e-07 -1.53583687e-03  8.65589170e-07  4.16931858e-03 
 8.75000000e-07  1.05000000e+01  8.75000000e-07  1.81470638e+00  8.75000000e-07  8.95427364e+00  8.75000000e-07  1.34820003e+00  8.75000000e-07  2.88898697e-03  8.75000000e-07  4.22060076e-03 
 8.75261426e-07  1.05000000e+01  8.75261426e-07  1.81812797e+00  8.75261426e-07  8.95468475e+00  8.75261426e-07  1.35007364e+00  8.75261426e-07  1.22209659e-03  8.75261426e-07  4.22201319e-03 
 8.75784277e-07  1.05000000e+01  8.75784277e-07  1.82494634e+00  8.75784277e-07  8.95534646e+00  8.75784277e-07  1.35201168e+00  8.75784277e-07  8.56331229e-04  8.75784277e-07  4.22468820e-03 
