 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 8.53774541e-07  8.53774541e-01  8.53774541e-07  1.29365320e-04  8.53774541e-07  8.30317534e-01  8.53774541e-07  8.82449228e-05  8.53774541e-07  5.29357706e-01  8.53774541e-07  2.86235543e-03 
 9.53774541e-07  9.53774541e-01  9.53774541e-07  1.22755691e-04  9.53774541e-07  9.30383788e-01  9.53774541e-07  9.54274591e-05  9.53774541e-07  4.44559880e-01  9.53774541e-07  2.88761162e-03 
 1.05377454e-06  1.05377454e+00  1.05377454e-06  1.16119047e-04  1.05377454e-06  1.03044228e+00  1.05377454e-06  1.06302975e-04  1.05377454e-06  2.99749461e-01  1.05377454e-06  2.90327290e-03 
 1.15377454e-06  1.15377454e+00  1.15377454e-06  1.09429297e-04  1.15377454e-06  1.13056127e+00  1.15377454e-06  1.18337220e-04  1.15377454e-06  1.26442012e-01  1.15377454e-06  2.91298619e-03 
 1.25377454e-06  1.25377454e+00  1.25377454e-06  1.02869554e-04  1.25377454e-06  1.23717364e+00  1.25377454e-06  1.46006783e-04  1.25377454e-06  5.01515080e-04  1.25377454e-06  2.91896285e-03 
 1.32969632e-06  1.32969632e+00  1.32969632e-06  9.77643171e-05  1.32969632e-06  1.31013423e+00  1.32969632e-06  1.90304537e-04  1.32969632e-06 -3.42506845e-04  1.32969632e-06  2.92184649e-03 
 1.41061287e-06  1.41061287e+00  1.41061287e-06  9.23890169e-05  1.41061287e-06  1.38849991e+00  1.41061287e-06  2.88578843e-04  1.41061287e-06  3.57565015e-04  1.41061287e-06  2.92393733e-03 
 1.51061287e-06  1.51061287e+00  1.51061287e-06  8.60358863e-05  1.51061287e-06  1.48565051e+00  1.51061287e-06  6.97135473e-04  1.51061287e-06 -2.49988717e-04  1.51061287e-06  2.92560476e-03 
 1.61061287e-06  1.61061287e+00  1.61061287e-06  8.05822650e-05  1.61061287e-06  1.57667925e+00  1.61061287e-06  2.02447343e-03  1.61061287e-06  2.66399727e-04  1.61061287e-06  2.92662806e-03 
 1.71061287e-06  1.71061287e+00  1.71061287e-06  7.74257505e-05  1.71061287e-06  1.65509655e+00  1.71061287e-06  5.23285541e-03  1.71061287e-06 -1.94301403e-04  1.71061287e-06  2.92730177e-03 
 1.81061287e-06  1.81061287e+00  1.81061287e-06  7.84469292e-05  1.81061287e-06  1.71368873e+00  1.81061287e-06  1.10839588e-02  1.81061287e-06  2.14036159e-04  1.81061287e-06  2.92781261e-03 
 1.91061287e-06  1.91061287e+00  1.91061287e-06  8.55659032e-05  1.91061287e-06  1.75168534e+00  1.91061287e-06  2.00666354e-02  1.91061287e-06 -1.59935765e-04  1.91061287e-06  2.92828217e-03 
 2.01061287e-06  2.01061287e+00  2.01061287e-06  1.00360738e-04  2.01061287e-06  1.77072602e+00  2.01061287e-06  3.24774400e-02  2.01061287e-06  1.80117960e-04  2.01061287e-06  2.92878317e-03 
 2.11061287e-06  2.11061287e+00  2.11061287e-06  1.24055282e-04  2.11061287e-06  1.77564303e+00  2.11061287e-06  4.84988578e-02  2.11061287e-06 -1.36687655e-04  2.11061287e-06  2.92936256e-03 
