 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            ibvdd           time            p_pass         
 8.53872196e-07  8.53872196e-01  8.53872196e-07  1.29409678e-04  8.53872196e-07  8.28617158e-01  8.53872196e-07  7.13612959e-05  8.53872196e-07  1.30465612e-06  8.53872196e-07  1.11384075e-06 
 9.53872196e-07  9.53872196e-01  9.53872196e-07  1.22966851e-04  9.53872196e-07  9.37296804e-01  9.53872196e-07  6.88105718e-05  9.53872196e-07  1.39951197e-06  9.53872196e-07  1.33478346e-06 
 1.05387220e-06  1.05387220e+00  1.05387220e-06  1.16581124e-04  1.05387220e-06  1.05032210e+00  1.05387220e-06  6.68300562e-05  1.05387220e-06  1.46016874e-06  1.05387220e-06  1.53866101e-06 
 1.15387220e-06  1.15387220e+00  1.15387220e-06  1.09919346e-04  1.15387220e-06  1.15321129e+00  1.15387220e-06  6.17263714e-05  1.15387220e-06  1.50933572e-06  1.15387220e-06  1.74141461e-06 
 1.25387220e-06  1.25387220e+00  1.25387220e-06  1.03186111e-04  1.25387220e-06  1.25360125e+00  1.25387220e-06  6.46803296e-05  1.25387220e-06  2.39338337e-06  1.25387220e-06  3.00074989e-06 
 1.32924488e-06  1.32924488e+00  1.32924488e-06  9.81288830e-05  1.32924488e-06  1.32887442e+00  1.32924488e-06  7.77045327e-05  1.32924488e-06  8.25100549e-07  1.32924488e-06  1.09667972e-06 
 1.40971784e-06  1.40971784e+00  1.40971784e-06  9.27486636e-05  1.40971784e-06  1.40953698e+00  1.40971784e-06  1.05602366e-04  1.40971784e-06  2.35421243e-06  1.40971784e-06  3.31855691e-06 
 1.50971784e-06  1.50971784e+00  1.50971784e-06  8.61422524e-05  1.50971784e-06  1.50949008e+00  1.50971784e-06  2.40989427e-04  1.50971784e-06  9.69073608e-07  1.50971784e-06  1.46294423e-06 
 1.60971784e-06  1.60971784e+00  1.60971784e-06  7.98460827e-05  1.60971784e-06  1.60956190e+00  1.60971784e-06  6.45108294e-04  1.60971784e-06  2.43556061e-06  1.60971784e-06  3.92037089e-06 
 1.70971784e-06  1.70971784e+00  1.70971784e-06  7.42639197e-05  1.70971784e-06  1.70950235e+00  1.70971784e-06  1.55834797e-03  1.70971784e-06  1.20165543e-06  1.70971784e-06  2.05440249e-06 
 1.80971784e-06  1.80971784e+00  1.80971784e-06  6.99224712e-05  1.80971784e-06  1.80951251e+00  1.80971784e-06  3.17341111e-03  1.80971784e-06  2.70562670e-06  1.80971784e-06  4.89623171e-06 
 1.90971784e-06  1.90971784e+00  1.90971784e-06  6.73536531e-05  1.90971784e-06  1.90944354e+00  1.90971784e-06  5.66736763e-03  1.90971784e-06  1.62844421e-06  1.90971784e-06  3.10975927e-06 
 2.00971784e-06  2.00971784e+00  2.00971784e-06  6.70646609e-05  2.00971784e-06  2.00942527e+00  2.00971784e-06  9.18545958e-03  2.00971784e-06  3.18539219e-06  2.00971784e-06  6.40152587e-06 
 2.10971784e-06  2.10971784e+00  2.10971784e-06  6.95230986e-05  2.10971784e-06  2.10935423e+00  2.10971784e-06  1.38748671e-02  2.10971784e-06  2.24100007e-06  2.10971784e-06  4.72772202e-06 
