 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.25379717e-06  1.25379717e-01  1.25379717e-06  6.52096975e-05  1.25379717e-06  1.22972638e-01  1.25379717e-06 -5.25390427e-06  1.25379717e-06  8.94623817e-02  1.25379717e-06  2.91839993e-03 
 1.35379717e-06  1.35379717e-01  1.35379717e-06  5.56436983e-05  1.35379717e-06  1.32974526e-01  1.35379717e-06 -1.40187996e-05  1.35379717e-06  9.65691117e-02  1.35379717e-06  2.92203025e-03 
 1.45379717e-06  1.45379717e-01  1.45379717e-06  4.60769943e-05  1.45379717e-06  1.42976309e-01  1.45379717e-06 -2.25545002e-05  1.45379717e-06  1.03657824e-01  1.45379717e-06  2.92424316e-03 
 1.55379717e-06  1.55379717e-01  1.55379717e-06  3.65108459e-05  1.55379717e-06  1.52978007e-01  1.55379717e-06 -3.13040489e-05  1.55379717e-06  1.10727804e-01  1.55379717e-06  2.92557897e-03 
 1.65379717e-06  1.65379717e-01  1.65379717e-06  2.69440083e-05  1.65379717e-06  1.62979632e-01  1.65379717e-06 -3.98220731e-05  1.65379717e-06  1.17778329e-01  1.65379717e-06  2.92637237e-03 
 1.75379717e-06  1.75379717e-01  1.75379717e-06  1.73777387e-05  1.75379717e-06  1.72981198e-01  1.75379717e-06 -4.85542891e-05  1.75379717e-06  1.24808625e-01  1.75379717e-06  2.92683057e-03 
 1.85379717e-06  1.85379717e-01  1.85379717e-06  7.81079330e-06  1.85379717e-06  1.82982710e-01  1.85379717e-06 -5.70533400e-05  1.85379717e-06  1.31817842e-01  1.85379717e-06  2.92708192e-03 
 1.95379717e-06  1.95379717e-01  1.95379717e-06 -1.75557263e-06  1.95379717e-06  1.92984177e-01  1.95379717e-06 -6.57656435e-05  1.95379717e-06  1.38805023e-01  1.95379717e-06  2.92720584e-03 
 2.05379717e-06  2.05379717e-01  2.05379717e-06 -1.13226010e-05  2.05379717e-06  2.02985603e-01  2.05379717e-06 -7.42437122e-05  2.05379717e-06  1.45769078e-01  2.05379717e-06  2.92725154e-03 
 2.15379717e-06  2.15379717e-01  2.15379717e-06 -2.08890386e-05  2.15379717e-06  2.12986994e-01  2.15379717e-06 -8.29329950e-05  2.15379717e-06  1.52708756e-01  2.15379717e-06  2.92724944e-03 
 2.25379717e-06  2.25379717e-01  2.25379717e-06 -3.04561250e-05  2.25379717e-06  2.22988353e-01  2.25379717e-06 -9.13874399e-05  2.25379717e-06  1.59622620e-01  2.25379717e-06  2.92721840e-03 
 2.35379717e-06  2.35379717e-01  2.35379717e-06 -4.00226086e-05  2.35379717e-06  2.32989684e-01  2.35379717e-06 -1.00050115e-04  2.35379717e-06  1.66509013e-01  2.35379717e-06  2.92717006e-03 
 2.45379717e-06  2.45379717e-01  2.45379717e-06 -4.95897271e-05  2.45379717e-06  2.42990989e-01  2.45379717e-06 -1.08477721e-04  2.45379717e-06  1.73366027e-01  2.45379717e-06  2.92711167e-03 
 2.55379717e-06  2.55379717e-01  2.55379717e-06 -5.91562305e-05  2.55379717e-06  2.52992271e-01  2.55379717e-06 -1.17109756e-04  2.55379717e-06  1.80191473e-01  2.55379717e-06  2.92704766e-03 
 2.65379717e-06  2.65379717e-01  2.65379717e-06 -6.87233542e-05  2.65379717e-06  2.62993533e-01  2.65379717e-06 -1.25506780e-04  2.65379717e-06  1.86982839e-01  2.65379717e-06  2.92698082e-03 
 2.75379717e-06  2.75379717e-01  2.75379717e-06 -7.82898501e-05  2.75379717e-06  2.72994777e-01  2.75379717e-06 -1.34103720e-04  2.75379717e-06  1.93737248e-01  2.75379717e-06  2.92691285e-03 
 2.85379717e-06  2.85379717e-01  2.85379717e-06 -8.78569514e-05  2.85379717e-06  2.82996004e-01  2.85379717e-06 -1.42465916e-04  2.85379717e-06  2.00451420e-01  2.85379717e-06  2.92684480e-03 
