 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.25385746e-06  1.25385746e+00  1.25385746e-06  1.02683448e-04  1.25385746e-06  1.23710618e+00  1.25385746e-06  5.66269774e-05  1.25385746e-06  5.00358799e-04  1.25385746e-06  2.91896349e-03 
 1.32978068e-06  1.32978068e+00  1.32978068e-06  9.75264645e-05  1.32978068e-06  1.31014346e+00  1.32978068e-06  6.96387849e-05  1.32978068e-06 -3.41591944e-04  1.32978068e-06  2.92184504e-03 
 1.41069789e-06  1.41069789e+00  1.41069789e-06  9.20611592e-05  1.41069789e-06  1.38882392e+00  1.41069789e-06  9.80329139e-05  1.41069789e-06  3.56764874e-04  1.41069789e-06  2.92393282e-03 
 1.51069789e-06  1.51069789e+00  1.51069789e-06  8.54254733e-05  1.51069789e-06  1.48753574e+00  1.51069789e-06  2.36486011e-04  1.51069789e-06 -2.49326675e-04  1.51069789e-06  2.92559040e-03 
 1.61069789e-06  1.61069789e+00  1.61069789e-06  7.90631781e-05  1.61069789e-06  1.58430726e+00  1.61069789e-06  6.47996705e-04  1.61069789e-06  2.65814371e-04  1.61069789e-06  2.92658200e-03 
 1.71069789e-06  1.71069789e+00  1.71069789e-06  7.33659447e-05  1.71069789e-06  1.67812579e+00  1.71069789e-06  1.57368012e-03  1.71069789e-06 -1.93789898e-04  1.71069789e-06  2.92717583e-03 
 1.81069789e-06  1.81069789e+00  1.81069789e-06  6.88071124e-05  1.81069789e-06  1.76656481e+00  1.81069789e-06  3.20500862e-03  1.81069789e-06  2.13570549e-04  1.81069789e-06  2.92753523e-03 
 1.91069789e-06  1.91069789e+00  1.91069789e-06  6.59258062e-05  1.91069789e-06  1.84983071e+00  1.91069789e-06  5.71894706e-03  1.91069789e-06 -1.59515975e-04  1.91069789e-06  2.92776731e-03 
 2.01069789e-06  2.01069789e+00  2.01069789e-06  6.52113801e-05  2.01069789e-06  1.92725332e+00  2.01069789e-06  9.25976092e-03  2.01069789e-06  1.79728591e-04  2.01069789e-06  2.92793767e-03 
 2.11069789e-06  2.11069789e+00  2.11069789e-06  6.71503088e-05  2.11069789e-06  1.99971280e+00  2.11069789e-06  1.39744264e-02  2.11069789e-06 -1.36329396e-04  2.11069789e-06  2.92809131e-03 
 2.21069789e-06  2.21069789e+00  2.21069789e-06  7.21669036e-05  2.21069789e-06  2.06701154e+00  2.21069789e-06  1.99813819e-02  2.21069789e-06  1.56075053e-04  2.21069789e-06  2.92825574e-03 
 2.31069789e-06  2.31069789e+00  2.31069789e-06  8.06710147e-05  2.31069789e-06  2.13007982e+00  2.31069789e-06  2.73989407e-02  2.31069789e-06 -1.19641279e-04  2.31069789e-06  2.92845094e-03 
 2.41069789e-06  2.41069789e+00  2.41069789e-06  9.30090513e-05  2.41069789e-06  2.18888997e+00  2.41069789e-06  3.63169585e-02  2.41069789e-06  1.38648057e-04  2.41069789e-06  2.92868896e-03 
 2.51069789e-06  2.51069789e+00  2.51069789e-06  1.09507147e-04  2.51069789e-06  2.24437016e+00  2.51069789e-06  4.68240020e-02  2.51069789e-06 -1.07082466e-04  2.51069789e-06  2.92897950e-03 
 2.61069789e-06  2.61069789e+00  2.61069789e-06  1.30429627e-04  2.61069789e-06  2.29659000e+00  2.61069789e-06  5.89815290e-02  2.61069789e-06  1.25302211e-04  2.61069789e-06  2.92932832e-03 
 2.71069789e-06  2.71069789e+00  2.71069789e-06  1.56022502e-04  2.71069789e-06  2.34645202e+00  2.71069789e-06  7.28496558e-02  2.71069789e-06 -9.78977342e-05  2.71069789e-06  2.92974080e-03 
 2.81069789e-06  2.81069789e+00  2.81069789e-06  1.86487550e-04  2.81069789e-06  2.39406492e+00  2.81069789e-06  8.84636423e-02  2.81069789e-06  1.14328302e-04  2.81069789e-06  2.93022022e-03 
 2.91069789e-06  2.91069789e+00  2.91069789e-06  2.22062821e-04  2.91069789e-06  2.44027537e+00  2.91069789e-06  1.05858121e-01  2.91069789e-06 -8.99300300e-05  2.91069789e-06  2.93077035e-03 
 3.01069789e-06  3.01069789e+00  3.01069789e-06  2.63138497e-04  3.01069789e-06  2.48520013e+00  3.01069789e-06  1.25045120e-01  3.01069789e-06  1.05948545e-04  3.01069789e-06  2.93139384e-03 
 3.11069789e-06  3.11069789e+00  3.11069789e-06  3.10819611e-04  3.11069789e-06  2.52961202e+00  3.11069789e-06  1.46038012e-01  3.11069789e-06 -8.34534298e-05  3.11069789e-06  2.93209456e-03 
 3.21069789e-06  3.21069789e+00  3.21069789e-06  3.68702864e-04  3.21069789e-06  2.57360345e+00  3.21069789e-06  1.68831881e-01  3.21069789e-06  9.90360463e-05  3.21069789e-06  2.93287680e-03 
 3.31069789e-06  3.31069789e+00  3.31069789e-06  4.48700593e-04  3.31069789e-06  2.61784976e+00  3.31069789e-06  1.93430808e-01  3.31069789e-06 -7.80922061e-05  3.31069789e-06  2.93374887e-03 
 3.41069789e-06  3.41069789e+00  3.41069789e-06  5.88339205e-04  3.41069789e-06  2.66239838e+00  3.41069789e-06  2.19842125e-01  3.41069789e-06  9.32497924e-05  3.41069789e-06  2.93472691e-03 
 3.51069789e-06  3.51069789e+00  3.51069789e-06  8.96180220e-04  3.51069789e-06  2.70784841e+00  3.51069789e-06  2.48133233e-01  3.51069789e-06 -7.35877668e-05  3.51069789e-06  2.93584908e-03 
 3.61069789e-06  3.61069789e+00  3.61069789e-06  1.65787276e-03  3.61069789e-06  2.75429830e+00  3.61069789e-06  2.78467633e-01  3.61069789e-06  8.84949726e-05  3.61069789e-06  2.93720227e-03 
