 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.20642229e-06  1.20642229e+00  1.20642229e-06  8.81262001e-05  1.20642229e-06  1.18719523e+00  1.20642229e-06  1.44026311e-04  1.20642229e-06  4.42306785e-04  1.20642229e-06  2.37041683e-02 
 1.30642229e-06  1.30642229e+00  1.30642229e-06  8.20577561e-05  1.30642229e-06  1.28802711e+00  1.30642229e-06  2.40638419e-04  1.30642229e-06 -2.41232135e-04  1.30642229e-06  2.34878098e-02 
 1.40642229e-06  1.40642229e+00  1.40642229e-06  7.61130806e-05  1.40642229e-06  1.38759294e+00  1.40642229e-06  4.55936638e-04  1.40642229e-06  3.10049992e-04  1.40642229e-06  2.32732631e-02 
 1.50642229e-06  1.50642229e+00  1.50642229e-06  7.04853714e-05  1.50642229e-06  1.48657382e+00  1.50642229e-06  8.87864427e-04  1.50642229e-06 -1.77503906e-04  1.50642229e-06  2.30615214e-02 
 1.60642229e-06  1.60642229e+00  1.60642229e-06  6.53800436e-05  1.60642229e-06  1.58371806e+00  1.60642229e-06  1.63427831e-03  1.60642229e-06  2.40148532e-04  1.60642229e-06  2.28514164e-02 
 1.70642229e-06  1.70642229e+00  1.70642229e-06  6.10841735e-05  1.70642229e-06  1.67978087e+00  1.70642229e-06  2.79350637e-03  1.70642229e-06 -1.40791574e-04  1.70642229e-06  2.26436694e-02 
 1.80642229e-06  1.80642229e+00  1.80642229e-06  5.78517476e-05  1.80642229e-06  1.77422500e+00  1.80642229e-06  4.44951444e-03  1.80642229e-06  1.97033886e-04  1.80642229e-06  2.24377466e-02 
 1.90642229e-06  1.90642229e+00  1.90642229e-06  5.59610843e-05  1.90642229e-06  1.86782075e+00  1.90642229e-06  6.68644499e-03  1.90642229e-06 -1.17016843e-04  1.90642229e-06  2.22341781e-02 
 2.00642229e-06  2.00642229e+00  2.00642229e-06  5.56471948e-05  2.00642229e-06  1.96023895e+00  2.00642229e-06  9.57784265e-03  2.00642229e-06  1.67837833e-04  2.00642229e-06  2.20327001e-02 
 2.10642229e-06  2.10642229e+00  2.10642229e-06  5.71575106e-05  2.10642229e-06  2.05209616e+00  2.10642229e-06  1.31985414e-02  2.10642229e-06 -1.00402524e-04  2.10642229e-06  2.18337266e-02 
 2.20642229e-06  2.20642229e+00  2.20642229e-06  6.07020475e-05  2.20642229e-06  2.14311866e+00  2.20642229e-06  1.76134913e-02  2.20642229e-06  1.46783217e-04  2.20642229e-06  2.16371097e-02 
 2.30642229e-06  2.30642229e+00  2.30642229e-06  6.64993767e-05  2.30642229e-06  2.23380540e+00  2.30642229e-06  2.28882450e-02  2.30642229e-06 -8.81539409e-05  2.30642229e-06  2.14431560e-02 
 2.40642229e-06  2.40642229e+00  2.40642229e-06  7.47341981e-05  2.40642229e-06  2.32392140e+00  2.40642229e-06  2.90780942e-02  2.40642229e-06  1.30895338e-04  2.40642229e-06  2.12517470e-02 
 2.50642229e-06  2.50642229e+00  2.50642229e-06  8.55954115e-05  2.50642229e-06  2.41388577e+00  2.50642229e-06  3.62378199e-02  2.50642229e-06 -7.87582312e-05  2.50642229e-06  2.10630946e-02 
 2.60642229e-06  2.60642229e+00  2.60642229e-06  9.92390234e-05  2.60642229e-06  2.50349222e+00  2.60642229e-06  4.44115743e-02  2.60642229e-06  1.18488339e-04  2.60642229e-06  2.08770898e-02 
 2.70642229e-06  2.70642229e+00  2.70642229e-06  1.15821537e-04  2.70642229e-06  2.59309989e+00  2.70642229e-06  5.36425498e-02  2.70642229e-06 -7.13266453e-05  2.70642229e-06  2.06938866e-02 
 2.80642229e-06  2.80642229e+00  2.80642229e-06  1.35468043e-04  2.80642229e-06  2.68252288e+00  2.80642229e-06  6.39638191e-02  2.80642229e-06  1.08255316e-04  2.80642229e-06  2.05133920e-02 
 2.90642229e-06  2.90642229e+00  2.90642229e-06  1.58303094e-04  2.90642229e-06  2.77207184e+00  2.90642229e-06  7.54080299e-02  2.90642229e-06 -6.55679990e-05  2.90642229e-06  2.03357389e-02 
 3.00642229e-06  3.00642229e+00  3.00642229e-06  1.84422917e-04  3.00642229e-06  2.86157499e+00  3.00642229e-06  8.79984021e-02  3.00642229e-06  1.00169998e-04  3.00642229e-06  2.01608790e-02 
 3.10642229e-06  3.10642229e+00  3.10642229e-06  2.13923283e-04  3.10642229e-06  2.95130441e+00  3.10642229e-06  1.01757601e-01  3.10642229e-06 -6.05261637e-05  3.10642229e-06  1.99889460e-02 
 3.20642229e-06  3.20642229e+00  3.20642229e-06  2.46874181e-04  3.20642229e-06  3.04109804e+00  3.20642229e-06  1.16699211e-01  3.20642229e-06  9.34146869e-05  3.20642229e-06  1.98199266e-02 
 3.30642229e-06  3.30642229e+00  3.30642229e-06  2.83345144e-04  3.30642229e-06  3.13119465e+00  3.30642229e-06  1.32835252e-01  3.30642229e-06 -5.62966960e-05  3.30642229e-06  1.96539718e-02 
 3.40642229e-06  3.40642229e+00  3.40642229e-06  3.23381264e-04  3.40642229e-06  3.22143884e+00  3.40642229e-06  1.50166339e-01  3.40642229e-06  8.76883517e-05  3.40642229e-06  1.94911130e-02 
 3.50642229e-06  3.50642229e+00  3.50642229e-06  3.67025021e-04  3.50642229e-06  3.31203822e+00  3.50642229e-06  1.68682731e-01  3.50642229e-06 -5.26976506e-05  3.50642229e-06  1.93315156e-02 
 3.60642229e-06  3.60642229e+00  3.60642229e-06  4.14289063e-04  3.60642229e-06  3.40283185e+00  3.60642229e-06  1.88326277e-01  3.60642229e-06  8.28737180e-05  3.60642229e-06  1.91751878e-02 
 3.70642229e-06  3.70642229e+00  3.70642229e-06  4.65154425e-04  3.70642229e-06  3.49395440e+00  3.70642229e-06  2.08855096e-01  3.70642229e-06 -4.94953054e-05  3.70642229e-06  1.90219398e-02 
 3.80642229e-06  3.80642229e+00  3.80642229e-06  5.19576240e-04  3.80642229e-06  3.58547431e+00  3.80642229e-06  2.31585450e-01  3.80642229e-06  7.85927934e-05  3.80642229e-06  1.88737885e-02 
 3.90642229e-06  3.90642229e+00  3.90642229e-06  5.77897518e-04  3.90642229e-06  3.67735536e+00  3.90642229e-06  2.54322950e-01  3.90642229e-06 -4.68144282e-05  3.90642229e-06  1.87293416e-02 
 4.00642229e-06  4.00642229e+00  4.00642229e-06  6.39864693e-04  4.00642229e-06  3.76948306e+00  4.00642229e-06  2.79132117e-01  4.00642229e-06  7.48478978e-05  4.00642229e-06  1.85901245e-02 
