 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 3.55000876e-07  4.26001051e+00  3.55000876e-07  2.73103902e-04  3.55000876e-07  4.01596392e+00  3.55000876e-07  4.85357485e-04  3.55000876e-07  4.26006805e+00  3.55000876e-07  2.28260687e-03 
 4.40072428e-07  5.28086914e+00  4.40072428e-07  2.92437099e-04  4.40072428e-07  4.98830258e+00  4.40072428e-07  8.22815338e-03  4.40072428e-07  5.28054372e+00  4.40072428e-07  2.60202722e-03 
 5.19222558e-07  6.23067069e+00  5.19222558e-07  3.24280186e-04  5.19222558e-07  5.73992003e+00  5.19222558e-07  3.33180823e-02  5.19222558e-07  6.23071614e+00  5.19222558e-07  2.86992589e-03 
 6.03293803e-07  7.23952563e+00  6.03293803e-07  6.70623565e-03  6.03293803e-07  6.29348923e+00  6.03293803e-07  9.15865569e-02  6.03293803e-07  7.23927368e+00  6.03293803e-07  3.14739744e-03 
 6.70079453e-07  8.04095344e+00  6.70079453e-07  1.50887004e-01  6.70079453e-07  6.78224291e+00  6.70079453e-07  2.78297590e-01  6.70079453e-07  3.94570492e-02  6.70079453e-07  3.30878376e-03 
 7.11474005e-07  8.53768806e+00  7.11474005e-07  4.13788155e-01  7.11474005e-07  7.12636817e+00  7.11474005e-07  5.49928603e-01  7.11474005e-07 -1.56337513e-03  7.11474005e-07  3.38166650e-03 
 7.52069967e-07  9.02483960e+00  7.52069967e-07  7.99936183e-01  7.52069967e-07  7.56806635e+00  7.52069967e-07  8.90272519e-01  7.52069967e-07  1.65506471e-03  7.52069967e-07  3.46842947e-03 
 7.89874888e-07  9.47849865e+00  7.89874888e-07  1.21785473e+00  7.89874888e-07  7.99206638e+00  7.89874888e-07  1.02195596e+00  7.89874888e-07 -1.57465430e-03  7.89874888e-07  3.56570561e-03 
 8.25126357e-07  9.90151629e+00  8.25126357e-07  1.65458151e+00  8.25126357e-07  8.35335486e+00  8.25126357e-07  1.22612070e+00  8.25126357e-07  1.63640397e-03  8.25126357e-07  3.72536939e-03 
 8.58087697e-07  1.02970524e+01  8.58087697e-07  2.09870469e+00  8.58087697e-07  8.70356214e+00  8.58087697e-07  1.45490728e+00  8.58087697e-07  2.39880353e-03  8.58087697e-07  3.90096130e-03 
 8.75000000e-07  1.05000000e+01  8.75000000e-07  2.33406755e+00  8.75000000e-07  8.88159675e+00  8.75000000e-07  1.52909328e+00  8.75000000e-07  4.50982825e-02  8.75000000e-07  3.99229640e-03 
 8.76048671e-07  1.05000000e+01  8.76048671e-07  2.34861579e+00  8.76048671e-07  8.88142898e+00  8.76048671e-07  1.52397935e+00  8.76048671e-07  3.90442198e-02  8.76048671e-07  3.99747559e-03 
 8.78146014e-07  1.05000000e+01  8.78146014e-07  2.37738511e+00  8.78146014e-07  8.88058401e+00  8.78146014e-07  1.52261550e+00  8.78146014e-07  3.23902238e-02  8.78146014e-07  4.00817528e-03 
 8.79343982e-07  1.05000000e+01  8.79343982e-07  2.39353321e+00  8.79343982e-07  8.87979703e+00  8.79343982e-07  1.52588203e+00  8.79343982e-07  2.91192281e-02  8.79343982e-07  4.01437865e-03 
