 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 8.53836852e-07  8.53836852e-01  8.53836852e-07  4.15710888e-05  8.53836852e-07  8.30273437e-01  8.53836852e-07 -2.25370002e-05  8.53836852e-07  5.29825783e-01  8.53836852e-07  2.86231316e-03 
 9.53836852e-07  9.53836852e-01  9.53836852e-07  3.13253782e-05  9.53836852e-07  9.30307017e-01  9.53836852e-07 -2.92502861e-05  9.53836852e-07  4.45161533e-01  9.53836852e-07  2.88754918e-03 
 1.05383685e-06  1.05383685e+00  1.05383685e-06  2.20157969e-05  1.05383685e-06  1.03032856e+00  1.05383685e-06 -3.44630071e-05  1.05383685e-06  2.99058269e-01  1.05383685e-06  2.90319307e-03 
 1.15383685e-06  1.15383685e+00  1.15383685e-06  1.35276351e-05  1.15383685e-06  1.13040744e+00  1.15383685e-06 -4.17621089e-05  1.15383685e-06  1.17778157e-01  1.15383685e-06  2.91289734e-03 
 1.25383685e-06  1.25383685e+00  1.25383685e-06  5.90915187e-06  1.25383685e-06  1.23722057e+00  1.25383685e-06 -1.10727344e-04  1.25383685e-06  4.87411677e-04  1.25383685e-06  2.91886989e-03 
 1.32521373e-06  1.32521373e+00  1.32521373e-06  8.08159069e-07  1.32521373e-06  1.30605923e+00  1.32521373e-06 -2.95251767e-05  1.32521373e-06 -3.33450198e-04  1.32521373e-06  2.92160815e-03 
 1.39152995e-06  1.39152995e+00  1.39152995e-06 -3.61767828e-06  1.39152995e-06  1.37018831e+00  1.39152995e-06 -1.13123468e-04  1.39152995e-06  3.57551814e-04  1.39152995e-06  2.92340932e-03 
 1.48617944e-06  1.48617944e+00  1.48617944e-06 -9.41807675e-06  1.48617944e-06  1.46432271e+00  1.48617944e-06 -4.35095441e-05  1.48617944e-06 -2.48517538e-04  1.48617944e-06  2.92515871e-03 
 1.58430047e-06  1.58430047e+00  1.58430047e-06 -1.49014282e-05  1.58430047e-06  1.56171942e+00  1.58430047e-06 -1.20075465e-04  1.58430047e-06  2.65989809e-04  1.58430047e-06  2.92625605e-03 
 1.68430047e-06  1.68430047e+00  1.68430047e-06 -1.99663686e-05  1.68430047e-06  1.66190883e+00  1.68430047e-06 -5.58578143e-05  1.68430047e-06 -1.91719794e-04  1.68430047e-06  2.92691460e-03 
 1.78430047e-06  1.78430047e+00  1.78430047e-06 -2.45770372e-05  1.78430047e-06  1.76162484e+00  1.78430047e-06 -1.26064278e-04  1.78430047e-06  2.12048187e-04  1.78430047e-06  2.92727340e-03 
 1.88430047e-06  1.88430047e+00  1.88430047e-06 -2.87587291e-05  1.88430047e-06  1.86183485e+00  1.88430047e-06 -6.60029753e-05  1.88430047e-06 -1.56819627e-04  1.88430047e-06  2.92745644e-03 
 1.98430047e-06  1.98430047e+00  1.98430047e-06 -3.25671710e-05  1.98430047e-06  1.96164791e+00  1.98430047e-06 -1.30759571e-04  1.98430047e-06  1.77544652e-04  1.98430047e-06  2.92752155e-03 
 2.08430047e-06  2.08430047e+00  2.08430047e-06 -3.60237146e-05  2.08430047e-06  2.06181905e+00  2.08430047e-06 -7.43223360e-05  2.08430047e-06 -1.33447158e-04  2.08430047e-06  2.92752231e-03 
 2.18430047e-06  2.18430047e+00  2.18430047e-06 -3.91730500e-05  2.18430047e-06  2.16167295e+00  2.18430047e-06 -1.34378340e-04  2.18430047e-06  1.53630280e-04  2.18430047e-06  2.92747505e-03 
 2.28430047e-06  2.28430047e+00  2.28430047e-06 -4.20329751e-05  2.28430047e-06  2.26181295e+00  2.28430047e-06 -8.11519249e-05  2.28430047e-06 -1.16743730e-04  2.28430047e-06  2.92740591e-03 
 2.38430047e-06  2.38430047e+00  2.38430047e-06 -4.46401221e-05  2.38430047e-06  2.36169178e+00  2.38430047e-06 -1.37110795e-04  2.38430047e-06  1.36116536e-04  2.38430047e-06  2.92731574e-03 
 2.48430047e-06  2.48430047e+00  2.48430047e-06 -4.70089593e-05  2.48430047e-06  2.46180943e+00  2.48430047e-06 -8.67587283e-05  2.48430047e-06 -1.04238672e-04  2.48430047e-06  2.92721978e-03 
 2.58430047e-06  2.58430047e+00  2.58430047e-06 -4.91698702e-05  2.58430047e-06  2.56170563e+00  2.58430047e-06 -1.39118062e-04  2.58430047e-06  1.22764489e-04  2.58430047e-06  2.92711330e-03 
 2.68430047e-06  2.68430047e+00  2.68430047e-06 -5.11343581e-05  2.68430047e-06  2.66180683e+00  2.68430047e-06 -9.13587014e-05  2.68430047e-06 -9.45448548e-05  2.68430047e-06  2.92700703e-03 
 2.78430047e-06  2.78430047e+00  2.78430047e-06 -5.29278467e-05  2.78430047e-06  2.76171585e+00  2.78430047e-06 -1.40534481e-04  2.78430047e-06  1.12269237e-04  2.78430047e-06  2.92689442e-03 
 2.88430047e-06  2.88430047e+00  2.88430047e-06 -5.45592843e-05  2.88430047e-06  2.86180451e+00  2.88430047e-06 -9.51279412e-05  2.88430047e-06 -8.68242479e-05  2.88430047e-06  2.92678416e-03 
 2.98430047e-06  2.98430047e+00  2.98430047e-06 -5.60501075e-05  2.98430047e-06  2.96172338e+00  2.98430047e-06 -1.41471128e-04  2.98430047e-06  1.03819135e-04  2.98430047e-06  2.92666930e-03 
 3.08430047e-06  3.08430047e+00  3.08430047e-06 -5.74071048e-05  3.08430047e-06  3.06180218e+00  3.08430047e-06 -9.82106843e-05  3.08430047e-06 -8.05410635e-05  3.08430047e-06  2.92655750e-03 
 3.18430047e-06  3.18430047e+00  3.18430047e-06 -5.86484814e-05  3.18430047e-06  3.16172882e+00  3.18430047e-06 -1.42019400e-04  3.18430047e-06  9.68830117e-05  3.18430047e-06  2.92644186e-03 
 3.28430047e-06  3.28430047e+00  3.28430047e-06 -5.97792220e-05  3.28430047e-06  3.26179967e+00  3.28430047e-06 -1.00725402e-04  3.28430047e-06 -7.53369529e-05  3.28430047e-06  2.92632944e-03 
 3.38430047e-06  3.38430047e+00  3.38430047e-06 -6.08148976e-05  3.38430047e-06  3.36173260e+00  3.38430047e-06 -1.42254260e-04  3.38430047e-06  9.10987443e-05  3.38430047e-06  2.92621358e-03 
 3.48430047e-06  3.48430047e+00  3.48430047e-06 -6.17589989e-05  3.48430047e-06  3.46179693e+00  3.48430047e-06 -1.02769590e-04  3.48430047e-06 -7.09632658e-05  3.48430047e-06  2.92610089e-03 
 3.58430047e-06  3.58430047e+00  3.58430047e-06 -6.26249393e-05  3.58430047e-06  3.56173505e+00  3.58430047e-06 -1.42237044e-04  3.58430047e-06  8.62110137e-05  3.58430047e-06  2.92598502e-03 
 3.68430047e-06  3.68430047e+00  3.68430047e-06 -6.34149799e-05  3.68430047e-06  3.66179393e+00  3.68430047e-06 -1.04423595e-04  3.68430047e-06 -6.72421112e-05  3.68430047e-06  2.92587221e-03 
 3.78430047e-06  3.78430047e+00  3.78430047e-06 -6.41407600e-05  3.78430047e-06  3.76173640e+00  3.78430047e-06 -1.42017884e-04  3.78430047e-06  8.20346665e-05  3.78430047e-06  2.92575640e-03 
 3.88430047e-06  3.88430047e+00  3.88430047e-06 -6.48035330e-05  3.88430047e-06  3.86179065e+00  3.88430047e-06 -1.05753713e-04  3.88430047e-06 -6.40428874e-05  3.88430047e-06  2.92564352e-03 
 3.98430047e-06  3.98430047e+00  3.98430047e-06 -6.54134731e-05  3.98430047e-06  3.96173682e+00  3.98430047e-06 -1.41637642e-04  3.98430047e-06  7.84321833e-05  3.98430047e-06  2.92552778e-03 
