 1.00000000e+01  6.29420201e+01  1.00000000e+01 -7.97202625e+01 
 1.02329299e+01  6.27482003e+01  1.02329299e+01 -7.99476026e+01 
 1.04712855e+01  6.25541106e+01  1.04712855e+01 -8.01700345e+01 
 1.07151931e+01  6.23597625e+01  1.07151931e+01 -8.03876491e+01 
 1.09647820e+01  6.21651668e+01  1.09647820e+01 -8.06005362e+01 
 1.12201845e+01  6.19703342e+01  1.12201845e+01 -8.08087847e+01 
 1.14815362e+01  6.17752748e+01  1.14815362e+01 -8.10124829e+01 
 1.17489755e+01  6.15799983e+01  1.17489755e+01 -8.12117178e+01 
 1.20226443e+01  6.13845140e+01  1.20226443e+01 -8.14065753e+01 
 1.23026877e+01  6.11888309e+01  1.23026877e+01 -8.15971405e+01 
 1.25892541e+01  6.09929575e+01  1.25892541e+01 -8.17834972e+01 
 1.28824955e+01  6.07969020e+01  1.28824955e+01 -8.19657281e+01 
 1.31825674e+01  6.06006724e+01  1.31825674e+01 -8.21439149e+01 
 1.34896288e+01  6.04042762e+01  1.34896288e+01 -8.23181379e+01 
 1.38038426e+01  6.02077206e+01  1.38038426e+01 -8.24884763e+01 
 1.41253754e+01  6.00110125e+01  1.41253754e+01 -8.26550081e+01 
 1.44543977e+01  5.98141586e+01  1.44543977e+01 -8.28178100e+01 
 1.47910839e+01  5.96171653e+01  1.47910839e+01 -8.29769577e+01 
 1.51356125e+01  5.94200386e+01  1.51356125e+01 -8.31325253e+01 
 1.54881662e+01  5.92227844e+01  1.54881662e+01 -8.32845861e+01 
 1.58489319e+01  5.90254082e+01  1.58489319e+01 -8.34332116e+01 
 1.62181010e+01  5.88279155e+01  1.62181010e+01 -8.35784726e+01 
 1.65958691e+01  5.86303113e+01  1.65958691e+01 -8.37204383e+01 
 1.69824365e+01  5.84326005e+01  1.69824365e+01 -8.38591768e+01 
 1.73780083e+01  5.82347879e+01  1.73780083e+01 -8.39947549e+01 
 1.77827941e+01  5.80368778e+01  1.77827941e+01 -8.41272382e+01 
 1.81970086e+01  5.78388747e+01  1.81970086e+01 -8.42566911e+01 
 1.86208714e+01  5.76407826e+01  1.86208714e+01 -8.43831766e+01 
 1.90546072e+01  5.74426054e+01  1.90546072e+01 -8.45067568e+01 
 1.94984460e+01  5.72443469e+01  1.94984460e+01 -8.46274923e+01 
 1.99526231e+01  5.70460108e+01  1.99526231e+01 -8.47454427e+01 
 2.04173794e+01  5.68476003e+01  2.04173794e+01 -8.48606663e+01 
 2.08929613e+01  5.66491190e+01  2.08929613e+01 -8.49732203e+01 
 2.13796209e+01  5.64505698e+01  2.13796209e+01 -8.50831606e+01 
 2.18776162e+01  5.62519558e+01  2.18776162e+01 -8.51905423e+01 
 2.23872114e+01  5.60532799e+01  2.23872114e+01 -8.52954190e+01 
 2.29086765e+01  5.58545448e+01  2.29086765e+01 -8.53978433e+01 
 2.34422882e+01  5.56557532e+01  2.34422882e+01 -8.54978668e+01 
 2.39883292e+01  5.54569076e+01  2.39883292e+01 -8.55955399e+01 
 2.45470892e+01  5.52580103e+01  2.45470892e+01 -8.56909119e+01 
 2.51188643e+01  5.50590638e+01  2.51188643e+01 -8.57840311e+01 
 2.57039578e+01  5.48600701e+01  2.57039578e+01 -8.58749449e+01 
 2.63026799e+01  5.46610314e+01  2.63026799e+01 -8.59636994e+01 
 2.69153480e+01  5.44619497e+01  2.69153480e+01 -8.60503398e+01 
 2.75422870e+01  5.42628270e+01  2.75422870e+01 -8.61349103e+01 
 2.81838293e+01  5.40636650e+01  2.81838293e+01 -8.62174542e+01 
 2.88403150e+01  5.38644655e+01  2.88403150e+01 -8.62980137e+01 
 2.95120923e+01  5.36652302e+01  2.95120923e+01 -8.63766301e+01 
 3.01995172e+01  5.34659606e+01  3.01995172e+01 -8.64533439e+01 
 3.09029543e+01  5.32666584e+01  3.09029543e+01 -8.65281943e+01 
 3.16227766e+01  5.30673250e+01  3.16227766e+01 -8.66012201e+01 
 3.23593657e+01  5.28679618e+01  3.23593657e+01 -8.66724588e+01 
 3.31131121e+01  5.26685702e+01  3.31131121e+01 -8.67419472e+01 
 3.38844156e+01  5.24691513e+01  3.38844156e+01 -8.68097213e+01 
 3.46736850e+01  5.22697064e+01  3.46736850e+01 -8.68758160e+01 
 3.54813389e+01  5.20702368e+01  3.54813389e+01 -8.69402657e+01 
 3.63078055e+01  5.18707434e+01  3.63078055e+01 -8.70031036e+01 
