 time            v(bvdd)         v(bypass_en)    v(ea_en)        v(ref_sel)      v(uvov_en)      v(ilim_en)      v(pass_off)    
 2.56470421e-09  2.56470421e-03  6.25721058e-01  7.93157876e-01  7.80893174e-01  5.25510999e-01  5.25510999e-01  4.93395364e-01 
 3.12485256e-09  3.12485256e-03  3.86393868e-01  5.29891839e-01  5.74986293e-01  3.92812639e-01  3.92812639e-01  3.28014350e-01 
 3.68442372e-09  3.68442372e-03  2.25686978e-01  3.62006556e-01  4.45729996e-01  3.02253296e-01  3.02253296e-01  2.15913854e-01 
 4.31332449e-09  4.31332449e-03  1.04520697e-01  2.38737006e-01  3.51355830e-01  2.36110187e-01  2.36110187e-01  1.33726688e-01 
 4.98566611e-09  4.98566611e-03  2.18120880e-02  1.49034102e-01  2.81684591e-01  1.94740070e-01  1.94740070e-01  8.00448141e-02 
 5.87375999e-09  5.87375999e-03 -3.70886859e-02  6.51373490e-02  2.18689010e-01  1.70088254e-01  1.70088254e-01  4.41120675e-02 
 6.67994214e-09  6.67994214e-03 -5.47815863e-02  9.37739364e-03  1.83431982e-01  1.66710041e-01  1.66710041e-01  3.62218170e-02 
 7.59278140e-09  7.59278140e-03 -4.62231492e-02 -3.53739779e-02  1.60351849e-01  1.75311766e-01  1.75311766e-01  4.61235562e-02 
 8.43821763e-09  8.43821763e-03 -2.04529839e-02 -6.33877964e-02  1.49071169e-01  1.90153951e-01  1.90153951e-01  6.70126770e-02 
 9.34018350e-09  9.34018350e-03  1.65612392e-02 -8.25946210e-02  1.43483838e-01  2.09917472e-01  2.09917472e-01  9.69347765e-02 
 1.00000000e-08  1.00000000e-02  4.67171513e-02 -9.08833953e-02  1.42164300e-01  2.25858955e-01  2.25858955e-01  1.22213843e-01 
 1.01549383e-08  1.01549383e-02  5.40663603e-02 -9.20252339e-02  1.42183938e-01  2.29763463e-01  2.29763463e-01  1.28565201e-01 
 1.04648149e-08  1.04648149e-02  6.88720475e-02 -9.38828564e-02  1.42336059e-01  2.37601667e-01  2.37601667e-01  1.41435158e-01 
 1.10845681e-08  1.10845681e-02  9.91119430e-02 -9.55706683e-02  1.43080929e-01  2.53366403e-01  2.53366403e-01  1.67903208e-01 
 1.23240745e-08  1.23240745e-02  1.61122696e-01 -9.14210486e-02  1.45796111e-01  2.84970756e-01  2.84970756e-01  2.23531878e-01 
 1.38946390e-08  1.38946390e-02  2.40048130e-01 -7.27226954e-02  1.50514540e-01  3.24717740e-01  3.24717740e-01  2.99277375e-01 
 1.55840446e-08  1.55840446e-02  3.21708611e-01 -3.68937041e-02  1.56123375e-01  3.66964303e-01  3.66964303e-01  3.88869393e-01 
 1.79918628e-08  1.79918628e-02  4.26778237e-01  4.63909165e-02  1.63651280e-01  4.26459340e-01  4.26459340e-01  5.40483701e-01 
 1.93770591e-08  1.93770591e-02  4.78915239e-01  1.14010066e-01  1.67468953e-01  4.60715947e-01  4.60715947e-01  6.51521397e-01 
 2.05997645e-08  2.05997645e-02  5.19176405e-01  1.84930347e-01  1.70781903e-01  4.91373770e-01  4.91373770e-01  7.85309431e-01 
 2.17214794e-08  2.17214794e-02  5.51552718e-01  2.59710562e-01  1.74043349e-01  5.20005861e-01  5.20005861e-01  1.04976629e+00 
 2.25648616e-08  2.25648616e-02  5.71601985e-01  3.24472270e-01  1.76821702e-01  5.41793670e-01  5.41793670e-01  2.49133328e+00 
 2.31658329e-08  2.31658329e-02  5.85585045e-01  3.77882206e-01  1.78992624e-01  5.57257606e-01  5.57257606e-01  3.39652435e+00 
 2.36756544e-08  2.36756544e-02  5.95283345e-01  4.30909875e-01  1.81045103e-01  5.70335567e-01  5.70335567e-01  3.58344626e+00 
 2.42243991e-08  2.42243991e-02  6.00431523e-01  5.01246076e-01  1.83585951e-01  5.84349992e-01  5.84349992e-01  3.68335846e+00 
 2.47763898e-08  2.47763898e-02  6.03248624e-01  6.00041713e-01  1.86346021e-01  5.98350288e-01  5.98350288e-01  3.75305598e+00 
 2.53916159e-08  2.53916159e-02  6.04148423e-01  9.15559081e-01  1.89639611e-01  6.13818930e-01  6.13818930e-01  3.81451238e+00 
 2.58669440e-08  2.58669440e-02  6.03208696e-01  2.61169387e+00  1.92296015e-01  6.25662547e-01  6.25662547e-01  3.85519573e+00 
 2.61382582e-08  2.61382582e-02  6.02001914e-01  3.15584056e+00  1.93930049e-01  6.32399580e-01  6.32399580e-01  3.87655909e+00 
 2.64814572e-08  2.64814572e-02  5.99824250e-01  3.34921800e+00  1.96104985e-01  6.40912021e-01  6.40912021e-01  3.90205496e+00 
 2.67823350e-08  2.67823350e-02  5.97367370e-01  3.43803772e+00  1.98069583e-01  6.48369851e-01  6.48369851e-01  3.92321849e+00 
 2.71493411e-08  2.71493411e-02  5.93857620e-01  3.51745548e+00  2.00530718e-01  6.57482517e-01  6.57482517e-01  3.94775827e+00 
 2.78833532e-08  2.78833532e-02  5.86704557e-01  3.63672192e+00  2.05633326e-01  6.75902755e-01  6.75902755e-01  3.99336620e+00 
 2.93513775e-08  2.93513775e-02  5.84405357e-01  3.81484581e+00  2.16374324e-01  7.14833956e-01  7.14833956e-01  4.07406739e+00 
 3.14781378e-08  3.14781378e-02  6.32327350e-01  4.01272767e+00  2.33396632e-01  7.82741588e-01  7.82741588e-01  4.17319979e+00 
 3.51525747e-08  3.51525747e-02  9.01241454e-01  4.26917154e+00  2.69918434e-01  9.99981488e-01  9.99981488e-01  4.31101776e+00 
 3.70463380e-08  3.70463380e-02  2.45920924e+00  4.37112530e+00  2.92908298e-01  1.73571937e+00  1.73571937e+00  4.36996476e+00 
 3.85973285e-08  3.85973285e-02  3.68025585e+00  4.44171850e+00  3.13445411e-01  3.31801940e+00  3.31801940e+00  4.41339653e+00 
 3.93536549e-08  3.93536549e-02  3.78692938e+00  4.47233398e+00  3.23746203e-01  3.58200316e+00  3.58200316e+00  4.43308478e+00 
 4.03679627e-08  4.03679627e-02  3.88287139e+00  4.50996092e+00  3.37416614e-01  3.71496928e+00  3.71496928e+00  4.45786356e+00 
 4.14010041e-08  4.14010041e-02  3.95570015e+00  4.54469598e+00  3.50831926e-01  3.79305262e+00  3.79305262e+00  4.48110911e+00 
 4.28788804e-08  4.28788804e-02  4.03576369e+00  4.58900285e+00  3.68546620e-01  3.87307675e+00  3.87307675e+00  4.51078522e+00 
 4.58346330e-08  4.58346330e-02  4.14365170e+00  4.66253369e+00  3.96676050e-01  3.98768634e+00  3.98768634e+00  4.55748309e+00 
 5.10273337e-08  5.10273337e-02  4.22473463e+00  4.75685485e+00  4.18461554e-01  4.12615537e+00  4.12615537e+00  4.59737677e+00 
 5.93431186e-08  5.93431186e-02  4.16189700e+00  4.85208256e+00  3.87046166e-01  4.27037206e+00  4.27037206e+00  4.52338951e+00 
 6.42109185e-08  6.42109185e-02  3.92786518e+00  4.88681652e+00  3.37475859e-01  4.32510120e+00  4.32510120e+00  4.34128986e+00 
 6.68316538e-08  6.68316538e-02  1.62807735e+00  4.90088097e+00  3.02199888e-01  4.34688142e+00  4.34688142e+00  3.95033950e+00 
 6.82947748e-08  6.82947748e-02  1.16046745e+00  4.90764636e+00  2.82001955e-01  4.35681526e+00  4.35681526e+00  1.35937758e+00 
 6.90368570e-08  6.90368570e-02  1.07118562e+00  4.91083539e+00  2.72114055e-01  4.36125505e+00  4.36125505e+00  1.17150228e+00 
 6.99231270e-08  6.99231270e-02  9.87616073e-01  4.91447648e+00  2.60862278e-01  4.36603262e+00  4.36603262e+00  1.02356774e+00 
 7.07686740e-08  7.07686740e-02  9.21294768e-01  4.91779781e+00  2.50715351e-01  4.37005919e+00  4.37005919e+00  9.14610450e-01 
 7.24597679e-08  7.24597679e-02  8.13580232e-01  4.92404179e+00  2.31934387e-01  4.37654946e+00  4.37654946e+00  7.51258489e-01 
 7.58419558e-08  7.58419558e-02  6.55710855e-01  4.93514840e+00  1.99192578e-01  4.38315971e+00  4.38315971e+00  5.38804499e-01 
 8.12070269e-08  8.12070269e-02  4.86061660e-01  4.94979938e+00  1.56376483e-01  4.37493537e+00  4.37493537e+00  3.46210863e-01 
 8.70330379e-08  8.70330379e-02  3.59461948e-01  4.96318497e+00  1.17760534e-01  4.33479391e+00  4.33479391e+00  2.31397727e-01 
 9.32879142e-08  9.32879142e-02  2.59649396e-01  4.97661237e+00  8.14236289e-02  4.23698302e+00  4.23698302e+00  1.55247825e-01 
 9.74761085e-08  9.74761085e-02  2.06572516e-01  4.98544227e+00  6.28294891e-02  4.10463583e+00  4.10463583e+00  1.17056486e-01 
 1.00299320e-07  1.00299320e-01  1.76206307e-01  4.99126242e+00  5.33371752e-02  3.85917598e+00  3.85917598e+00  9.56818169e-02 
 1.01915404e-07  1.01915404e-01  1.60701471e-01  4.99451979e+00  4.87586743e-02  2.11780015e+00  2.11780015e+00  8.54064752e-02 
 1.02997312e-07  1.02997312e-01  1.51081467e-01  4.99665757e+00  4.59301924e-02  1.27961479e+00  1.27961479e+00  7.92867029e-02 
 1.04284143e-07  1.04284143e-01  1.40498985e-01  4.99914819e+00  4.27412495e-02  1.07671530e+00  1.07671530e+00  7.26307094e-02 
 1.05408806e-07  1.05408806e-01  1.32053999e-01  5.00136981e+00  4.01116999e-02  9.65974650e-01  9.65974650e-01  6.73260196e-02 
 1.06841554e-07  1.06841554e-01  1.22421863e-01  5.00419513e+00  3.69685840e-02  8.58669998e-01  8.58669998e-01  6.11740845e-02 
 1.09707049e-07  1.09707049e-01  1.06174824e-01  5.00970896e+00  3.13032324e-02  7.07033131e-01  7.07033131e-01  5.05180672e-02 
 1.13274245e-07  1.13274245e-01  8.75838232e-02  5.01685739e+00  2.52584005e-02  5.80159584e-01  5.80159584e-01  3.97854103e-02 
 1.16573369e-07  1.16573369e-01  6.94582569e-02  5.02419076e+00  2.06081345e-02  4.94997679e-01  4.94997679e-01  3.19741392e-02 
 1.21015927e-07  1.21015927e-01  4.72312039e-02  5.03503314e+00  1.58475500e-02  4.02940848e-01  4.02940848e-01  2.41352202e-02 
 1.25028529e-07  1.25028529e-01  3.19672046e-02  5.04599635e+00  1.28195794e-02  3.30390026e-01  3.30390026e-01  1.91298911e-02 
 1.26272744e-07  1.26272744e-01  2.92060312e-02  5.04972173e+00  1.21157097e-02  3.08403144e-01  3.08403144e-01  1.79412551e-02 
 1.28109950e-07  1.28109950e-01  2.60849088e-02  5.05546792e+00  1.11704952e-02  2.77674103e-01  2.77674103e-01  1.63361344e-02 
 1.30140768e-07  1.30140768e-01  2.34853307e-02  5.06213691e+00  1.02286769e-02  2.46901553e-01  2.46901553e-01  1.47327102e-02 
 1.32678334e-07  1.32678334e-01  2.10664382e-02  5.07094823e+00  9.18929136e-03  2.13380337e-01  2.13380337e-01  1.29639323e-02 
 1.35696016e-07  1.35696016e-01  1.89630446e-02  5.08217350e+00  8.12641586e-03  1.79876313e-01  1.79876313e-01  1.11634453e-02 
 1.39691253e-07  1.39691253e-01  1.69614107e-02  5.09802607e+00  6.94905554e-03  1.43938304e-01  1.43938304e-01  9.19634464e-03 
 1.44999029e-07  1.44999029e-01  1.51752425e-02  5.11845935e+00  5.68462121e-03  1.07332668e-01  1.07332668e-01  7.14802091e-03 
 1.52462168e-07  1.52462168e-01  1.36520315e-02  5.13982209e+00  4.31417809e-03  6.87637936e-02  6.87637936e-02  5.04731532e-03 
 1.56286399e-07  1.56286399e-01  1.31457853e-02  5.14591820e+00  3.76421288e-03  5.54146195e-02  5.54146195e-02  4.25516309e-03 
 1.61898042e-07  1.61898042e-01  1.26937360e-02  5.14787540e+00  3.09178017e-03  4.07356651e-02  4.07356651e-02  3.33501700e-03 
 1.67194658e-07  1.67194658e-01  1.25832926e-02  5.14109090e+00  2.57467108e-03  3.07700126e-02  3.07700126e-02  2.66772593e-03 
 1.75397447e-07  1.75397447e-01  1.29022235e-02  5.11049470e+00  1.94161106e-03  1.98228772e-02  1.98228772e-02  1.90125535e-03 
 1.85397447e-07  1.85397447e-01  1.36002957e-02  5.03153487e+00  1.37524841e-03  1.16322863e-02  1.16322863e-02  1.26705833e-03 
 1.95397447e-07  1.95397447e-01  1.40555679e-02  4.88929807e+00  9.71026980e-04  7.20317316e-03  7.20317316e-03  8.50667126e-04 
 2.05397447e-07  2.05397447e-01  1.39985845e-02  4.63401179e+00  6.76652422e-04  5.04234155e-03  5.04234155e-03  5.72046032e-04 
 2.12513180e-07  2.12513180e-01  1.37031507e-02  4.30450918e+00  5.22202945e-04  4.30419903e-03  4.30419903e-03  4.33675515e-04 
 2.16082499e-07  2.16082499e-01  1.35241994e-02  2.84741192e+00  4.61974107e-04  3.99637818e-03  3.99637818e-03  3.78164284e-04 
 2.19740661e-07  2.19740661e-01  1.33648011e-02  9.02204124e-01  4.12047192e-04  3.71067349e-03  3.71067349e-03  3.29215064e-04 
 2.22497862e-07  2.22497862e-01  1.32419457e-02  6.80702660e-01  3.76518239e-04  3.49402526e-03  3.49402526e-03  2.94471153e-04 
 2.25358164e-07  2.25358164e-01  1.31337196e-02  5.36991605e-01  3.44009273e-04  3.30122322e-03  3.30122322e-03  2.62141148e-04 
 2.28194106e-07  2.28194106e-01  1.29811527e-02  4.43840266e-01  3.09391055e-04  3.09623784e-03  3.09623784e-03  2.29529955e-04 
 2.33865990e-07  2.33865990e-01  1.25546352e-02  3.25531462e-01  2.41696748e-04  2.63847720e-03  2.63847720e-03  1.70572799e-04 
 2.41572184e-07  2.41572184e-01  1.18413010e-02  2.28970382e-01  1.67786852e-04  2.01037901e-03  2.01037901e-03  1.10558122e-04 
 2.49290590e-07  2.49290590e-01  1.10759071e-02  1.66874157e-01  1.17240967e-04  1.47933587e-03  1.47933587e-03  7.14629231e-05 
 2.58683544e-07  2.58683544e-01  1.00956776e-02  1.15371945e-01  7.72620184e-05  1.01435751e-03  1.01435751e-03  4.10552525e-05 
 2.68683544e-07  2.68683544e-01  8.99025314e-03  7.85584217e-02  4.87293783e-05  6.98735757e-04  6.98735757e-04  1.90358610e-05 
 2.78683544e-07  2.78683544e-01  7.85022323e-03  5.48959564e-02  2.87851015e-05  5.08869307e-04  5.08869307e-04  3.70168590e-06 
 2.88683544e-07  2.88683544e-01  6.72814225e-03  3.95847678e-02  1.53764036e-05  3.78716768e-04  3.78716768e-04 -5.35979358e-06 
 2.97496702e-07  2.97496702e-01  5.79817439e-03  3.08508421e-02  8.25208554e-06  2.80876359e-04  2.80876359e-04 -8.46115643e-06 
 3.06735288e-07  3.06735288e-01  4.92717570e-03  2.48384147e-02  6.56521656e-06  2.00242621e-04  2.00242621e-04 -7.19972310e-06 
 3.16460888e-07  3.16460888e-01  4.16250157e-03  1.99133366e-02  1.17115153e-05  1.32435828e-04  1.32435828e-04 -2.82811299e-06 
 3.26460888e-07  3.26460888e-01  3.51591895e-03  1.53150140e-02  2.01329490e-05  7.89808174e-05  7.89808174e-05  1.71234239e-06 
 3.36460888e-07  3.36460888e-01  2.93615058e-03  1.16595888e-02  2.37266442e-05  6.43005459e-05  6.43005459e-05  3.83654449e-06 
 3.46460888e-07  3.46460888e-01  2.41481544e-03  8.95982122e-03  2.31240081e-05  7.62576936e-05  7.62576936e-05  4.64770136e-06 
 3.56460888e-07  3.56460888e-01  1.96705944e-03  6.94882174e-03  2.13048966e-05  9.38198462e-05  9.38198462e-05  5.33891701e-06 
 3.66460888e-07  3.66460888e-01  1.59587278e-03  5.42294962e-03  1.95412440e-05  1.05905320e-04  1.05905320e-04  6.04970713e-06 
 3.76460888e-07  3.76460888e-01  1.29378356e-03  4.25337406e-03  1.79913317e-05  1.09792756e-04  1.09792756e-04  6.55261236e-06 
 3.86460888e-07  3.86460888e-01  1.04980294e-03  3.35125019e-03  1.65456529e-05  1.06686832e-04  1.06686832e-04  6.70423843e-06 
 3.96460888e-07  3.96460888e-01  8.53163626e-04  2.65143929e-03  1.51268065e-05  9.89218318e-05  9.89218318e-05  6.50832989e-06 
 4.06460888e-07  4.06460888e-01  6.94606108e-04  2.10552085e-03  1.37233335e-05  8.86685637e-05  8.86685637e-05  6.05108333e-06 
 4.16460888e-07  4.16460888e-01  5.66584299e-04  1.67749230e-03  1.23612181e-05  7.75492557e-05  7.75492557e-05  5.43950254e-06 
 4.26460888e-07  4.26460888e-01  4.63066594e-04  1.34042764e-03  1.10745548e-05  6.66103299e-05  6.66103299e-05  4.76608533e-06 
 4.36460888e-07  4.36460888e-01  3.79252169e-04  1.07397798e-03  9.89009345e-06  5.64458707e-05  5.64458707e-05  4.09692310e-06 
 4.46460888e-07  4.46460888e-01  3.11314305e-04  8.62640688e-04  8.82260954e-06  4.73447612e-05  4.73447612e-05  3.47255114e-06 
 4.56460888e-07  4.56460888e-01  2.56190635e-04  6.94523159e-04  7.87567886e-06  3.94007314e-05  3.94007314e-05  2.91342604e-06 
 4.66460888e-07  4.66460888e-01  2.11421199e-04  5.60442258e-04  7.04484155e-06  3.25916344e-05  3.25916344e-05  2.42640396e-06 
 4.76460888e-07  4.76460888e-01  1.75024579e-04  4.53263961e-04  6.32092756e-06  2.68329126e-05  2.68329126e-05  2.01018835e-06 
 4.86460888e-07  4.86460888e-01  1.45402148e-04  3.67416279e-04  5.69262587e-06  2.20114759e-05  2.20114759e-05  1.65919162e-06 
 4.96460888e-07  4.96460888e-01  1.21262945e-04  2.98526999e-04  5.14816851e-06  1.80060490e-05  1.80060490e-05  1.36598889e-06 
 5.06460888e-07  5.06460888e-01  1.01563985e-04  2.43151673e-04  4.67630165e-06  1.46987147e-05  1.46987147e-05  1.12274664e-06 
 5.16460888e-07  5.16460888e-01  8.54624392e-05  1.98567486e-04  4.26676826e-06  1.19809307e-05  1.19809307e-05  9.21982512e-07 
 5.26460888e-07  5.26460888e-01  7.22771361e-05  1.62615754e-04  3.91049074e-06  9.75617844e-06  9.75617844e-06  7.56920772e-07 
 5.36460888e-07  5.36460888e-01  6.14574813e-05  1.33580707e-04  3.59958363e-06  7.94062682e-06  7.94062682e-06  6.21618085e-07 
 5.46460888e-07  5.46460888e-01  5.25583528e-05  1.10095633e-04  3.32727971e-06  6.46268234e-06  6.46268234e-06  5.10966857e-07 
 5.56460888e-07  5.56460888e-01  4.52198130e-05  9.10697905e-05  3.08781787e-06  5.26196605e-06  5.26196605e-06  4.20638332e-07 
 5.66460888e-07  5.66460888e-01  3.91507177e-05  7.56312465e-05  2.87631950e-06  4.28804477e-06  4.28804477e-06  3.47000029e-07 
 5.76460888e-07  5.76460888e-01  3.41154788e-05  6.30819713e-05  2.68866755e-06  3.49910924e-06  3.49910924e-06  2.87026129e-07 
 5.86460888e-07  5.86460888e-01  2.99233758e-05  5.28624421e-05  2.52139492e-06  2.86070650e-06  2.86070650e-06  2.38210322e-07 
 5.96460888e-07  5.96460888e-01  2.64199290e-05  4.45236506e-05  2.37158478e-06  2.34458134e-06  2.34458134e-06  1.98485662e-07 
 6.06460888e-07  6.06460888e-01  2.34799348e-05  3.77049039e-05  2.23678373e-06  1.92764975e-06  1.92764975e-06  1.66153324e-07 
 6.16460888e-07  6.16460888e-01  2.10018461e-05  3.21161767e-05  2.11492669e-06  1.59110811e-06  1.59110811e-06  1.39820615e-07 
