 0.00000000e+00 -2.59118882e-02  0.00000000e+00  1.05719442e+00 
 1.00000000e-09 -2.59118882e-02  1.00000000e-09  1.05719442e+00 
 2.00000000e-09 -2.59118882e-02  2.00000000e-09  1.05719442e+00 
 4.00000000e-09 -2.59118882e-02  4.00000000e-09  1.05719442e+00 
 8.00000000e-09 -2.59118882e-02  8.00000000e-09  1.05719442e+00 
 1.60000000e-08 -2.59118882e-02  1.60000000e-08  1.05719442e+00 
 3.20000000e-08 -2.59118882e-02  3.20000000e-08  1.05719442e+00 
 6.40000000e-08 -2.59118882e-02  6.40000000e-08  1.05719442e+00 
 1.00000000e-07 -2.59118882e-02  1.00000000e-07  1.05719442e+00 
 1.00063046e-07 -2.59105385e-02  1.00063046e-07  1.05712494e+00 
 1.00189138e-07 -2.59086456e-02  1.00189138e-07  1.05693799e+00 
 1.00441323e-07 -2.59049006e-02  1.00441323e-07  1.05654465e+00 
 1.00945691e-07 -2.58973590e-02  1.00945691e-07  1.05576615e+00 
 1.01954429e-07 -2.58822640e-02  1.01954429e-07  1.05416831e+00 
 1.03971904e-07 -2.58519485e-02  1.03971904e-07  1.05088065e+00 
 1.08006854e-07 -2.57918181e-02  1.08006854e-07  1.04390491e+00 
 1.16076754e-07 -2.56792224e-02  1.16076754e-07  1.02866281e+00 
 1.27886836e-07 -2.55441919e-02  1.27886836e-07  1.00306855e+00 
 1.35449336e-07 -2.54786381e-02  1.35449336e-07  9.83545532e-01 
 1.41328185e-07 -2.54391665e-02  1.41328185e-07  9.65442602e-01 
 1.46186661e-07 -2.54140880e-02  1.46186661e-07  9.47583394e-01 
 1.50695566e-07 -2.53969108e-02  1.50695566e-07  9.27533819e-01 
 1.56281133e-07 -2.53833615e-02  1.56281133e-07  8.96973864e-01 
 1.62542594e-07 -2.53765024e-02  1.62542594e-07  8.55803546e-01 
 1.66667623e-07 -2.53749326e-02  1.66667623e-07  8.28936936e-01 
 1.70903510e-07 -2.53743780e-02  1.70903510e-07  8.05483639e-01 
 1.75561502e-07 -2.53742092e-02  1.75561502e-07  7.85786491e-01 
 1.79860921e-07 -2.53741790e-02  1.79860921e-07  7.72333786e-01 
 1.85027610e-07 -2.53741768e-02  1.85027610e-07  7.60222483e-01 
 1.91309959e-07 -2.53741838e-02  1.91309959e-07  7.49251281e-01 
 1.97800297e-07 -2.53741853e-02  1.97800297e-07  7.40563748e-01 
 2.00000000e-07 -2.53741870e-02  2.00000000e-07  7.38052217e-01 
 2.00016340e-07 -2.53744686e-02  2.00016340e-07  7.38030274e-01 
 2.00049021e-07 -2.53744689e-02  2.00049021e-07  7.37986682e-01 
 2.00114381e-07 -2.53744687e-02  2.00114381e-07  7.37899663e-01 
 2.00245103e-07 -2.53744691e-02  2.00245103e-07  7.37726262e-01 
 2.00506546e-07 -2.53744690e-02  2.00506546e-07  7.37381996e-01 
 2.01029433e-07 -2.53744698e-02  2.01029433e-07  7.36703351e-01 
 2.02075206e-07 -2.53744704e-02  2.02075206e-07  7.35383806e-01 
 2.04166752e-07 -2.53744724e-02  2.04166752e-07  7.32882739e-01 
 2.08349845e-07 -2.53744747e-02  2.08349845e-07  7.28348943e-01 
 2.16716030e-07 -2.53744789e-02  2.16716030e-07  7.20691543e-01 
 2.32294820e-07 -2.53744828e-02  2.32294820e-07  7.09680293e-01 
 2.47503503e-07 -2.53744855e-02  2.47503503e-07  7.01533076e-01 
 2.69582412e-07 -2.53744873e-02  2.69582412e-07  6.92275171e-01 
 2.93646352e-07 -2.53744890e-02  2.93646352e-07  6.84382793e-01 
 3.29678890e-07 -2.53744900e-02  3.29678890e-07  6.75099253e-01 
 3.69933920e-07 -2.53744912e-02  3.69933920e-07  6.67011424e-01 
 4.27492623e-07 -2.53744916e-02  4.27492623e-07  6.57933609e-01 
 4.93180637e-07 -2.53744925e-02  4.93180637e-07  6.49831510e-01 
 5.85109762e-07 -2.53744927e-02  5.85109762e-07  6.40917489e-01 
 6.92134545e-07 -2.53744933e-02  6.92134545e-07  6.32786309e-01 
 8.38865115e-07 -2.53744933e-02  8.38865115e-07  6.24015204e-01 
 1.01220547e-06 -2.53744938e-02  1.01220547e-06  6.15883308e-01 
 1.24593645e-06 -2.53744937e-02  1.24593645e-06  6.07248450e-01 
 1.52534854e-06 -2.53744941e-02  1.52534854e-06  5.99136129e-01 
 1.89695327e-06 -2.53744939e-02  1.89695327e-06  5.90634185e-01 
 2.34529230e-06 -2.53744943e-02  2.34529230e-06  5.82564852e-01 
 2.93475252e-06 -2.53744940e-02  2.93475252e-06  5.74201818e-01 
 3.65102002e-06 -2.53744944e-02  3.65102002e-06  5.66203989e-01 
 4.58373577e-06 -2.53744941e-02  4.58373577e-06  5.57996588e-01 
 5.72327576e-06 -2.53744945e-02  5.72327576e-06  5.50108067e-01 
 7.19520473e-06 -2.53744942e-02  7.19520473e-06  5.42088346e-01 
 9.00085287e-06 -2.53744946e-02  9.00085287e-06  5.34362387e-01 
 1.13172378e-05 -2.53744942e-02  1.13172378e-05  5.26584341e-01 
 1.41672607e-05 -2.53744946e-02  1.41672607e-05  5.19098193e-01 
 1.78021350e-05 -2.53744943e-02  1.78021350e-05  5.11647270e-01 
 2.22838617e-05 -2.53744946e-02  2.22838617e-05  5.04513605e-01 
 2.79713925e-05 -2.53744943e-02  2.79713925e-05  4.97518955e-01 
 3.49942837e-05 -2.53744946e-02  3.49942837e-05  4.90899280e-01 
 4.38691189e-05 -2.53744943e-02  4.38691189e-05  4.84546496e-01 
 5.38691189e-05 -2.53744946e-02  5.38691189e-05  4.79129543e-01 
 6.38691189e-05 -2.53744943e-02  6.38691189e-05  4.74936029e-01 
 7.38691189e-05 -2.53744946e-02  7.38691189e-05  4.71585445e-01 
 8.38691189e-05 -2.53744943e-02  8.38691189e-05  4.68852811e-01 
 9.38691189e-05 -2.53744946e-02  9.38691189e-05  4.66589911e-01 
 1.03869119e-04 -2.53744943e-02  1.03869119e-04  4.64693827e-01 
 1.13869119e-04 -2.53744946e-02  1.13869119e-04  4.63090304e-01 
 1.23869119e-04 -2.53744943e-02  1.23869119e-04  4.61724076e-01 
 1.33869119e-04 -2.53744946e-02  1.33869119e-04  4.60552945e-01 
 1.43869119e-04 -2.53744943e-02  1.43869119e-04  4.59544018e-01 
 1.53869119e-04 -2.53744946e-02  1.53869119e-04  4.58671191e-01 
 1.63869119e-04 -2.53744943e-02  1.63869119e-04  4.57913452e-01 
 1.73869119e-04 -2.53744946e-02  1.73869119e-04  4.57253664e-01 
 1.83869119e-04 -2.53744943e-02  1.83869119e-04  4.56677709e-01 
 1.93869119e-04 -2.53744946e-02  1.93869119e-04  4.56173838e-01 
 2.03869119e-04 -2.53744943e-02  2.03869119e-04  4.55732207e-01 
 2.13869119e-04 -2.53744946e-02  2.13869119e-04  4.55344497e-01 
 2.23869119e-04 -2.53744943e-02  2.23869119e-04  4.55003652e-01 
 2.33869119e-04 -2.53744946e-02  2.33869119e-04  4.54703636e-01 
 2.43869119e-04 -2.53744943e-02  2.43869119e-04  4.54439282e-01 
 2.53869119e-04 -2.53744946e-02  2.53869119e-04  4.54206130e-01 
 2.63869119e-04 -2.53744943e-02  2.63869119e-04  4.54000334e-01 
 2.73869119e-04 -2.53744946e-02  2.73869119e-04  4.53818551e-01 
 2.83869119e-04 -2.53744943e-02  2.83869119e-04  4.53657882e-01 
 2.93869119e-04 -2.53744946e-02  2.93869119e-04  4.53515792e-01 
 3.03869119e-04 -2.53744943e-02  3.03869119e-04  4.53390076e-01 
 3.13869119e-04 -2.53744946e-02  3.13869119e-04  4.53278795e-01 
