 5.00000000e-09  2.83254793e-06 
 5.14019886e-09  2.91197418e-06 
 5.42059659e-09  3.07082613e-06 
 5.98139205e-09  3.38852789e-06 
 6.77345692e-09  3.83724209e-06 
 8.02719431e-09  4.54748079e-06 
 1.05346691e-08  5.96788200e-06 
 1.55496186e-08  8.80836290e-06 
 2.55795177e-08  1.44879865e-05 
 4.56122891e-08  2.58263921e-05 
 5.94321863e-08  3.36440024e-05 
 7.41962652e-08  4.19918268e-05 
 8.34845646e-08  4.72415404e-05 
 9.41018212e-08  5.32404941e-05 
 1.06648915e-07  6.03273033e-05 
 1.20280815e-07  6.80237792e-05 
 1.39376308e-07  7.87997718e-05 
 1.59801065e-07  9.03194161e-05 
 1.89870978e-07  1.07267304e-04 
 2.33180269e-07  1.31654105e-04 
 2.91286061e-07  1.64333178e-04 
 3.54175739e-07  1.99656456e-04 
 4.07994963e-07  2.29850421e-04 
 4.46652110e-07  2.51519917e-04 
 4.95460113e-07  2.78859460e-04 
 5.00000000e-07  2.81401354e-04 
 5.03806357e-07  2.83532393e-04 
 5.11419070e-07  2.87794080e-04 
 5.21114442e-07  2.93220924e-04 
 5.38883083e-07  3.03164567e-04 
 5.59676400e-07  3.14797505e-04 
 6.01263034e-07  3.38052862e-04 
 6.35223868e-07  3.57033861e-04 
 6.59483576e-07  3.70587538e-04 
 6.81407972e-07  3.82832833e-04 
 7.05179325e-07  3.96105871e-04 
 7.20836256e-07  4.04845994e-04 
 7.31670147e-07  4.10892796e-04 
 7.38162144e-07  4.14515849e-04 
 7.41797250e-07  4.16544406e-04 
 7.45203278e-07  4.18445049e-04 
 7.48769740e-07  4.20435136e-04 
 7.52328836e-07  4.22421029e-04 
 7.57387207e-07  4.25243342e-04 
 7.67503949e-07  4.30887471e-04 
 7.87296970e-07  4.41928105e-04 
 8.14255765e-07  4.56961893e-04 
 8.54058996e-07  4.79150396e-04 
 9.13061582e-07  5.12024578e-04 
 9.67087195e-07  5.42108494e-04 
 1.00000000e-06  5.60427898e-04 
 1.00644995e-06  5.64017276e-04 
 1.01934986e-06  5.71195396e-04 
 1.04053288e-06  5.82980801e-04 
 1.06252431e-06  5.95213626e-04 
 1.09020483e-06  6.10607708e-04 
 1.11911492e-06  6.26681741e-04 
 1.17693509e-06  6.58818362e-04 
 1.22612127e-06  6.86144650e-04 
 1.27694252e-06  7.14368762e-04 
 1.33773289e-06  7.48115948e-04 
 1.40599161e-06  7.85992897e-04 
