 5.00000000e-09  6.04973567e-09 
 5.14019886e-09  6.16735339e-09 
 5.42059659e-09  6.39742069e-09 
 5.98139205e-09  6.85543715e-09 
 6.87692357e-09  7.58581535e-09 
 8.01050468e-09  8.50806906e-09 
 1.02776669e-08  1.03444655e-08 
 1.48119914e-08  1.39888185e-08 
 2.38806403e-08  2.12021759e-08 
 4.20179381e-08  3.54541717e-08 
 5.42109328e-08  4.49110212e-08 
 6.52574300e-08  5.33651200e-08 
 7.26904961e-08  5.89619042e-08 
 8.10345937e-08  6.51156117e-08 
 9.27526433e-08  7.33006917e-08 
 1.05423321e-07  8.16882555e-08 
 1.24351360e-07  9.36788126e-08 
 1.45595609e-07  1.06778967e-07 
 1.70935158e-07  1.22310534e-07 
 2.04586287e-07  1.42986000e-07 
 2.56266266e-07  1.74540806e-07 
 3.03922068e-07  2.02838942e-07 
 3.46824980e-07  2.26828833e-07 
 3.92070686e-07  2.51211688e-07 
 4.24235316e-07  2.68838736e-07 
 4.59304334e-07  2.88092693e-07 
 5.00000000e-07  3.10198844e-07 
 5.05233744e-07  3.13021476e-07 
 5.15701231e-07  3.18654478e-07 
 5.36636206e-07  3.29884156e-07 
 5.78506156e-07  3.52276520e-07 
 6.10437410e-07  3.69379606e-07 
 6.46496107e-07  3.88872941e-07 
 6.80914879e-07  4.07836912e-07 
 7.15626703e-07  4.27449021e-07 
 7.37356048e-07  4.39953526e-07 
 7.61436527e-07  4.53770997e-07 
 7.69573385e-07  4.58403378e-07 
 7.77991128e-07  4.63157263e-07 
 7.88514281e-07  4.69035297e-07 
 7.99270455e-07  4.74969043e-07 
 8.19993780e-07  4.86209039e-07 
 8.46261746e-07  5.00153160e-07 
 8.93812000e-07  5.24788838e-07 
 9.53858337e-07  5.55098923e-07 
 1.00000000e-06  5.77948041e-07 
 1.00660357e-06  5.81187201e-07 
 1.01981070e-06  5.87652406e-07 
 1.04622497e-06  6.00528935e-07 
 1.09905351e-06  6.26128957e-07 
 1.17254107e-06  6.61077077e-07 
 1.26242403e-06  7.04676075e-07 
 1.34490256e-06  7.53202170e-07 
 1.44222587e-06  8.39272933e-07 
 1.58290504e-06  1.05471466e-06 
 1.68889617e-06  1.33725730e-06 
 1.77320668e-06  1.82300597e-06 
 1.84220061e-06  2.91271382e-06 
 1.90532831e-06  5.48299910e-06 
 1.97466192e-06  1.24186968e-05 
 2.00000000e-06  1.64909165e-05 
 2.00662219e-06  1.77540352e-05 
 2.01986658e-06  2.05201564e-05 
 2.04635536e-06  2.73834641e-05 
 2.09933290e-06  4.84216018e-05 
 2.16734086e-06  9.59383380e-05 
 2.26044742e-06  2.17560770e-04 
 2.31095388e-06  3.09897786e-04 
 2.34710059e-06  3.83066901e-04 
 2.37254444e-06  4.32385529e-04 
 2.39265658e-06  4.66207087e-04 
 2.41722535e-06  5.00196257e-04 
 2.43969792e-06  5.26594519e-04 
 2.47166701e-06  5.62445099e-04 
 2.51496141e-06  6.17013865e-04 
 2.55455173e-06  6.81616144e-04 
 2.60020671e-06  7.84365008e-04 
 2.65565733e-06  9.54143150e-04 
 2.71704084e-06  1.19317456e-03 
 2.77812085e-06  1.47940500e-03 
 2.86830004e-06  1.99560546e-03 
 3.00563519e-06  3.03319534e-03 
 3.28030548e-06  6.23533078e-03 
 3.71384179e-06  1.50724314e-02 
 4.33992590e-06  3.77280655e-02 
 5.32832263e-06  1.00991887e-01 
 6.33817832e-06  2.19000565e-01 
 6.45318400e-06  2.36226039e-01 
 6.68319537e-06  2.72069035e-01 
 6.78127844e-06  2.87946199e-01 
 6.84921301e-06  2.98435021e-01 
 6.88246425e-06  3.03274312e-01 
 6.91484438e-06  3.07798615e-01 
 6.94172546e-06  3.11434248e-01 
 6.97137351e-06  3.15327749e-01 
 7.03066963e-06  3.22799084e-01 
 7.09023777e-06  3.29947699e-01 
 7.20937405e-06  3.43422088e-01 
 7.36464054e-06  3.59755856e-01 
 7.65597898e-06  3.88070819e-01 
 8.05245195e-06  4.23819002e-01 
 8.55175681e-06  4.66600951e-01 
 9.37566811e-06  5.35506036e-01 
 1.00000000e-05  5.87807417e-01 
 1.00852265e-05  5.94945434e-01 
 1.02556795e-05  6.09192642e-01 
 1.05965855e-05  6.37556899e-01 
 1.12783975e-05  6.93806464e-01 
 1.20021137e-05  7.53125163e-01 
 1.25612795e-05  7.98480826e-01 
 1.29792337e-05  8.29970636e-01 
 1.32128007e-05  8.46239767e-01 
 1.34043525e-05  8.58747106e-01 
 1.35934747e-05  8.70330480e-01 
 1.38238911e-05  8.83422913e-01 
 1.41814719e-05  9.01583884e-01 
 1.45935989e-05  9.19389990e-01 
 1.50455899e-05  9.35279037e-01 
 1.56957815e-05  9.52042767e-01 
 1.63764980e-05  9.62795553e-01 
 1.77379308e-05  9.71600944e-01 
 1.97379308e-05  9.76173393e-01 
