 3.98107171e+01 -3.47963597e+02  3.98107171e+01 -9.00000760e+01 
 4.16869383e+01 -3.48363598e+02  4.16869383e+01 -9.00000760e+01 
 4.36515832e+01 -3.48763597e+02  4.36515832e+01 -9.00000760e+01 
 4.57088190e+01 -3.49163598e+02  4.57088190e+01 -9.00000760e+01 
 4.78630092e+01 -3.49563597e+02  4.78630092e+01 -9.00000760e+01 
 5.01187234e+01 -3.49963597e+02  5.01187234e+01 -9.00000760e+01 
 5.24807460e+01 -3.50363597e+02  5.24807460e+01 -9.00000760e+01 
 5.49540874e+01 -3.50763597e+02  5.49540874e+01 -9.00000760e+01 
 5.75439937e+01 -3.51163597e+02  5.75439937e+01 -9.00000760e+01 
 6.02559586e+01 -3.51563597e+02  6.02559586e+01 -9.00000760e+01 
 6.30957344e+01 -3.51963598e+02  6.30957344e+01 -9.00000760e+01 
 6.60693448e+01 -3.52363598e+02  6.60693448e+01 -9.00000760e+01 
 6.91830971e+01 -3.52763598e+02  6.91830971e+01 -9.00000760e+01 
 7.24435960e+01 -3.53163597e+02  7.24435960e+01 -9.00000760e+01 
 7.58577575e+01 -3.53563597e+02  7.58577575e+01 -9.00000760e+01 
 7.94328235e+01 -3.53963597e+02  7.94328235e+01 -9.00000760e+01 
 8.31763771e+01 -3.54363598e+02  8.31763771e+01 -9.00000760e+01 
 8.70963590e+01 -3.54763598e+02  8.70963590e+01 -9.00000760e+01 
 9.12010839e+01 -3.55163598e+02  9.12010839e+01 -9.00000760e+01 
 9.54992586e+01 -3.55563598e+02  9.54992586e+01 -9.00000760e+01 
 1.00000000e+02 -3.55963598e+02  1.00000000e+02 -9.00000760e+01 
 1.04712855e+02 -3.56363597e+02  1.04712855e+02 -9.00000760e+01 
 1.09647820e+02 -3.56763597e+02  1.09647820e+02 -9.00000760e+01 
 1.14815362e+02 -3.57163598e+02  1.14815362e+02 -9.00000760e+01 
 1.20226443e+02 -3.57563597e+02  1.20226443e+02 -9.00000760e+01 
 1.25892541e+02 -3.57963598e+02  1.25892541e+02 -9.00000760e+01 
 1.31825674e+02 -3.58363598e+02  1.31825674e+02 -9.00000760e+01 
 1.38038426e+02 -3.58763598e+02  1.38038426e+02 -9.00000760e+01 
 1.44543977e+02 -3.59163597e+02  1.44543977e+02 -9.00000760e+01 
 1.51356125e+02 -3.59563598e+02  1.51356125e+02 -9.00000760e+01 
 1.58489319e+02 -3.59963597e+02  1.58489319e+02 -9.00000760e+01 
 1.65958691e+02 -3.60363598e+02  1.65958691e+02 -9.00000760e+01 
 1.73780083e+02 -3.60763598e+02  1.73780083e+02 -9.00000760e+01 
 1.81970086e+02 -3.61163598e+02  1.81970086e+02 -9.00000760e+01 
 1.90546072e+02 -3.61563597e+02  1.90546072e+02 -9.00000760e+01 
 1.99526231e+02 -3.61963597e+02  1.99526231e+02 -9.00000760e+01 
 2.08929613e+02 -3.62363597e+02  2.08929613e+02 -9.00000760e+01 
 2.18776162e+02 -3.62763598e+02  2.18776162e+02 -9.00000760e+01 
 2.29086765e+02 -3.63163598e+02  2.29086765e+02 -9.00000760e+01 
 2.39883292e+02 -3.63563598e+02  2.39883292e+02 -9.00000760e+01 
 2.51188643e+02 -3.63963597e+02  2.51188643e+02 -9.00000760e+01 
 2.63026799e+02 -3.64363597e+02  2.63026799e+02 -9.00000760e+01 
 2.75422870e+02 -3.64763598e+02  2.75422870e+02 -9.00000760e+01 
 2.88403150e+02 -3.65163598e+02  2.88403150e+02 -9.00000760e+01 
 3.01995172e+02 -3.65563598e+02  3.01995172e+02 -9.00000760e+01 
 3.16227766e+02 -3.65963597e+02  3.16227766e+02 -9.00000760e+01 
 3.31131121e+02 -3.66363598e+02  3.31131121e+02 -9.00000760e+01 
 3.46736850e+02 -3.66763598e+02  3.46736850e+02 -9.00000760e+01 
 3.63078055e+02 -3.67163597e+02  3.63078055e+02 -9.00000760e+01 
 3.80189396e+02 -3.67563598e+02  3.80189396e+02 -9.00000760e+01 
 3.98107171e+02 -3.67963598e+02  3.98107171e+02 -9.00000760e+01 
 4.16869383e+02 -3.68363598e+02  4.16869383e+02 -9.00000760e+01 
 4.36515832e+02 -3.68763598e+02  4.36515832e+02 -9.00000760e+01 
 4.57088190e+02 -3.69163598e+02  4.57088190e+02 -9.00000760e+01 
 4.78630092e+02 -3.69563598e+02  4.78630092e+02 -9.00000760e+01 
 5.01187234e+02 -3.69963598e+02  5.01187234e+02 -9.00000760e+01 
 5.24807460e+02 -3.70363597e+02  5.24807460e+02 -9.00000760e+01 
 5.49540874e+02 -3.70763597e+02  5.49540874e+02 -9.00000760e+01 
 5.75439937e+02 -3.71163598e+02  5.75439937e+02 -9.00000760e+01 
 6.02559586e+02 -3.71563597e+02  6.02559586e+02 -9.00000760e+01 
 6.30957344e+02 -3.71963597e+02  6.30957344e+02 -9.00000760e+01 
 6.60693448e+02 -3.72363597e+02  6.60693448e+02 -9.00000760e+01 
 6.91830971e+02 -3.72763597e+02  6.91830971e+02 -9.00000760e+01 
 7.24435960e+02 -3.73163597e+02  7.24435960e+02 -9.00000760e+01 
 7.58577575e+02 -3.73563597e+02  7.58577575e+02 -9.00000760e+01 
 7.94328235e+02 -3.73963598e+02  7.94328235e+02 -9.00000760e+01 
 8.31763771e+02 -3.74363598e+02  8.31763771e+02 -9.00000760e+01 
 8.70963590e+02 -3.74763598e+02  8.70963590e+02 -9.00000760e+01 
 9.12010839e+02 -3.75163598e+02  9.12010839e+02 -9.00000760e+01 
 9.54992586e+02 -3.75563597e+02  9.54992586e+02 -9.00000760e+01 
 1.00000000e+03 -3.75963598e+02  1.00000000e+03 -9.00000760e+01 
 1.04712855e+03 -3.76363597e+02  1.04712855e+03 -9.00000760e+01 
 1.09647820e+03 -3.76763597e+02  1.09647820e+03 -9.00000760e+01 
 1.14815362e+03 -3.77163597e+02  1.14815362e+03 -9.00000760e+01 
 1.20226443e+03 -3.77563597e+02  1.20226443e+03 -9.00000760e+01 
 1.25892541e+03 -3.77963598e+02  1.25892541e+03 -9.00000760e+01 
 1.31825674e+03 -3.78363598e+02  1.31825674e+03 -9.00000760e+01 
 1.38038426e+03 -3.78763598e+02  1.38038426e+03 -9.00000760e+01 
 1.44543977e+03 -3.79163597e+02  1.44543977e+03 -9.00000760e+01 
 1.51356125e+03 -3.79563597e+02  1.51356125e+03 -9.00000760e+01 
 1.58489319e+03 -3.79963598e+02  1.58489319e+03 -9.00000760e+01 
 1.65958691e+03 -3.80363597e+02  1.65958691e+03 -9.00000760e+01 
 1.73780083e+03 -3.80763598e+02  1.73780083e+03 -9.00000760e+01 
 1.81970086e+03 -3.81163597e+02  1.81970086e+03 -9.00000760e+01 
 1.90546072e+03 -3.81563597e+02  1.90546072e+03 -9.00000760e+01 
 1.99526231e+03 -3.81963598e+02  1.99526231e+03 -9.00000760e+01 
 2.08929613e+03 -3.82363597e+02  2.08929613e+03 -9.00000760e+01 
 2.18776162e+03 -3.82763597e+02  2.18776162e+03 -9.00000760e+01 
 2.29086765e+03 -3.83163596e+02  2.29086765e+03 -9.00000760e+01 
 2.39883292e+03 -3.83563596e+02  2.39883292e+03 -9.00000760e+01 
 2.51188643e+03 -3.83963596e+02  2.51188643e+03 -9.00000760e+01 
 2.63026799e+03 -3.84363598e+02  2.63026799e+03 -9.00000760e+01 
 2.75422870e+03 -3.84763597e+02  2.75422870e+03 -9.00000760e+01 
 2.88403150e+03 -3.85163598e+02  2.88403150e+03 -9.00000760e+01 
 3.01995172e+03 -3.85563598e+02  3.01995172e+03 -9.00000760e+01 
 3.16227766e+03 -3.85963598e+02  3.16227766e+03 -9.00000760e+01 
 3.31131121e+03 -3.86363597e+02  3.31131121e+03 -9.00000760e+01 
 3.46736850e+03 -3.86763598e+02  3.46736850e+03 -9.00000760e+01 
 3.63078055e+03 -3.87163597e+02  3.63078055e+03 -9.00000760e+01 
