 5.00000000e-09  3.56814195e-09  5.00000000e-09  2.50555149e-03  5.00000000e-09  4.31994227e-04  5.00000000e-09  2.78926676e-03 
 5.14019886e-09  3.62203204e-09  5.14019886e-09  2.57585493e-03  5.14019886e-09  4.44182062e-04  5.14019886e-09  2.86753067e-03 
 5.42059659e-09  3.72276888e-09  5.42059659e-09  2.71619981e-03  5.42059659e-09  4.68582764e-04  5.42059659e-09  3.02402354e-03 
 5.98139205e-09  3.91045072e-09  5.98139205e-09  2.99585973e-03  5.98139205e-09  5.17477737e-04  5.98139205e-09  3.33688657e-03 
 6.77345692e-09  4.15623046e-09  6.77345692e-09  3.38921097e-03  6.77345692e-09  5.86737695e-04  6.77345692e-09  3.77864395e-03 
 8.02719431e-09  4.52018374e-09  8.02719431e-09  4.00991756e-03  8.02719431e-09  6.96838150e-04  8.02719431e-09  4.47799713e-03 
 1.05346691e-08  5.20812776e-09  1.05346691e-08  5.25214833e-03  1.05346691e-08  9.18789692e-04  1.05346691e-08  5.87870450e-03 
 1.55496186e-08  6.53093181e-09  1.55496186e-08  7.74901807e-03  1.55496186e-08  1.36986674e-03  1.55496186e-08  8.68975439e-03 
 2.55795177e-08  9.12799919e-09  2.55795177e-08  1.27853718e-02  2.55795177e-08  2.30189311e-03  2.55795177e-08  1.43472112e-02 
 4.56122825e-08  1.43468321e-08  4.56122825e-08  2.29424159e-02  4.56122825e-08  4.29143168e-03  4.56122825e-08  2.57638754e-02 
 5.94321838e-08  1.79949102e-08  5.94321838e-08  2.99888788e-02  5.94321838e-08  5.77171536e-03  5.94321838e-08  3.37181704e-02 
 7.41962651e-08  2.19506101e-08  7.41962651e-08  3.75335369e-02  7.41962651e-08  7.45862170e-03  7.41962651e-08  4.22790004e-02 
 8.34845642e-08  2.44654446e-08  8.34845642e-08  4.22852540e-02  8.34845642e-08  8.57911216e-03  8.34845642e-08  4.76963262e-02 
 9.41018222e-08  2.73584622e-08  9.41018222e-08  4.77198477e-02  9.41018222e-08  9.91883381e-03  9.41018222e-08  5.39172423e-02 
 1.06648916e-07  3.07987865e-08  1.06648916e-07  5.41449118e-02  1.06648916e-07  1.15866612e-02  1.06648916e-07  6.13066311e-02 
 1.20280815e-07  3.45627290e-08  1.20280815e-07  6.11273322e-02  1.20280815e-07  1.35072495e-02  1.20280815e-07  6.93796092e-02 
 1.39376307e-07  3.98850621e-08  1.39376307e-07  7.09095396e-02  1.39376307e-07  1.63967847e-02  1.39376307e-07  8.07632874e-02 
 1.59801065e-07  4.56476891e-08  1.59801065e-07  8.13725630e-02  1.59801065e-07  1.97549582e-02  1.59801065e-07  9.30323848e-02 
