# Iload_mA PVDD_V
0 4.9959
1 4.9954
2 4.9952
5 4.9949
10 4.9945
15 4.9942
20 4.9940
25 4.9938
30 4.9936
35 4.9935
40 4.9933
42 4.9933
44 4.9932
46 4.9932
48 4.9931
50 4.9931
51 4.9930
52 4.9930
53 4.9930
54 4.8808
55 4.7098
56 4.5251
57 4.3281
58 4.1190
59 3.8982
60 3.6659
62 3.1689
65 2.3683
70 1.3105
75 0.7835
80 0.4668
85 0.2405
90 0.0634
95 0.0000
100 0.0000
110 0.0000
120 0.0000
130 0.0000
140 0.0000
150 0.0000
