# Iload_mA PVDD_V
0 4.9962
1 4.9954
2 4.9951
5 4.9946
10 4.9941
15 4.9937
20 4.9934
25 4.9931
30 4.9929
35 4.9927
40 4.9925
42 4.9924
44 4.9924
46 4.9923
48 4.9922
50 4.9922
51 4.9922
52 4.9921
53 4.9921
54 4.9921
55 4.9921
56 4.9920
57 4.9000
58 4.7481
59 4.5830
60 4.4050
62 4.0093
65 3.3144
70 1.9268
75 0.8909
80 0.3999
85 0.0993
90 0.0000
95 0.0000
100 0.0000
110 0.0000
120 0.0000
130 0.0000
140 0.0000
150 0.0000
