 5.00000000e-09  5.89470393e-09 
 5.14019886e-09  6.01045126e-09 
 5.42059659e-09  6.23842028e-09 
 5.98139205e-09  6.69256877e-09 
 6.82763024e-09  7.37548386e-09 
 8.00896273e-09  8.32395790e-09 
 1.03716277e-08  1.02054644e-08 
 1.50969577e-08  1.39189811e-08 
 2.45476176e-08  2.12167348e-08 
 3.96380894e-08  3.26429543e-08 
 5.06535701e-08  4.08417045e-08 
 6.06733224e-08  4.81944107e-08 
 6.75996604e-08  5.31999839e-08 
 7.53439352e-08  5.86907809e-08 
 8.59571324e-08  6.59810556e-08 
 9.79478528e-08  7.38755767e-08 
 1.16153069e-07  8.53504847e-08 
 1.35679037e-07  9.67698718e-08 
 1.59494976e-07  1.10562437e-07 
 1.90272817e-07  1.28434353e-07 
 2.38535790e-07  1.56411963e-07 
 2.82352974e-07  1.81238593e-07 
 3.28978240e-07  2.06299859e-07 
 3.59644645e-07  2.22581211e-07 
 3.97163023e-07  2.42860304e-07 
 4.35461186e-07  2.63636645e-07 
 4.77295370e-07  2.86339277e-07 
 5.00000000e-07  2.98711377e-07 
 5.06442118e-07  3.02237489e-07 
 5.19326354e-07  3.09310959e-07 
 5.44109103e-07  3.23053244e-07 
 5.79908654e-07  3.43393257e-07 
 6.10050593e-07  3.61159369e-07 
 6.37116929e-07  3.77789609e-07 
 6.65945775e-07  3.96340212e-07 
 7.07694564e-07  4.23645218e-07 
 7.31547890e-07  4.38788161e-07 
 7.49373205e-07  4.49600514e-07 
 7.56670975e-07  4.53882476e-07 
 7.63896540e-07  4.58032070e-07 
 7.69624361e-07  4.61259123e-07 
 7.77204993e-07  4.65451494e-07 
 7.89790132e-07  4.72239377e-07 
 8.10495300e-07  4.83030682e-07 
 8.40925275e-07  4.98262164e-07 
 8.78828816e-07  5.16493800e-07 
 9.17777530e-07  5.34662988e-07 
 9.57308692e-07  5.52793115e-07 
 1.00000000e-06  5.72330557e-07 
 1.00790623e-06  5.75957698e-07 
 1.02371870e-06  5.83241974e-07 
 1.05534363e-06  5.97985552e-07 
 1.10742026e-06  6.23076449e-07 
 1.16381134e-06  6.54087252e-07 
 1.24084465e-06  7.13193900e-07 
 1.32304867e-06  8.14706249e-07 
 1.47832497e-06  1.17053288e-06 
 1.57919709e-06  1.62605187e-06 
 1.65897156e-06  2.48799962e-06 
 1.72416579e-06  4.35699774e-06 
 1.78825503e-06  8.84782267e-06 
 1.84074035e-06  1.62970775e-05 
 1.89609642e-06  3.06893369e-05 
 1.94799613e-06  5.32716270e-05 
 1.99690216e-06  8.62990495e-05 
 2.04842491e-06  1.38731705e-04 
 2.10702243e-06  2.28373373e-04 
 2.14816983e-06  3.12008282e-04 
 2.17582180e-06  3.75951363e-04 
 2.19785719e-06  4.29999695e-04 
 2.21970840e-06  4.83428387e-04 
 2.23570269e-06  5.19704425e-04 
 2.25571086e-06  5.58338238e-04 
 2.27781383e-06  5.93002889e-04 
 2.29860133e-06  6.21010930e-04 
 2.32711188e-06  6.58039162e-04 
 2.36994505e-06  7.20509502e-04 
 2.40903937e-06  7.93450182e-04 
 2.45605884e-06  9.14470076e-04 
 2.51301218e-06  1.11623181e-03 
 2.57846763e-06  1.41496843e-03 
 2.63774057e-06  1.74184618e-03 
 2.72831155e-06  2.35134834e-03 
 2.85809234e-06  3.49437274e-03 
 3.11765391e-06  6.94065424e-03 
 3.56156251e-06  1.72191383e-02 
 4.17244489e-06  4.20850503e-02 
 5.12409383e-06  1.09451818e-01 
 5.81327122e-06  1.91114222e-01 
 5.90701005e-06  2.04679677e-01 
 6.09448769e-06  2.32928121e-01 
 6.18274154e-06  2.46724459e-01 
 6.23624331e-06  2.54683002e-01 
 6.26405412e-06  2.58598256e-01 
 6.29335474e-06  2.62561409e-01 
 6.32176337e-06  2.66270826e-01 
 6.35117889e-06  2.69987031e-01 
 6.41000991e-06  2.77092613e-01 
 6.47093106e-06  2.84065364e-01 
 6.59277335e-06  2.97116155e-01 
 6.75412200e-06  3.13058573e-01 
 7.06414174e-06  3.41136054e-01 
 7.46635953e-06  3.74808180e-01 
 7.95398851e-06  4.13619532e-01 
 8.76313878e-06  4.76363256e-01 
 9.79028755e-06  5.56479265e-01 
 1.00000000e-05  5.73063748e-01 
 1.00511043e-05  5.77113314e-01 
 1.01533128e-05  5.85202490e-01 
 1.03350439e-05  5.99545030e-01 
 1.06985060e-05  6.28086546e-01 
 1.14254304e-05  6.84641100e-01 
 1.22491523e-05  7.48142643e-01 
 1.28546823e-05  7.94280872e-01 
 1.33476199e-05  8.28341088e-01 
 1.35859512e-05  8.43229520e-01 
 1.37824813e-05  8.54604995e-01 
 1.39758354e-05  8.64976928e-01 
 1.43625434e-05  8.83330579e-01 
 1.48508983e-05  9.02166639e-01 
 1.55790872e-05  9.22032584e-01 
 1.70354650e-05  9.39818471e-01 
 1.90056372e-05  9.48595324e-01 
 2.15500884e-05  9.52670343e-01 
 2.42244987e-05  9.54109897e-01 
 2.74098204e-05  9.54700077e-01 
 3.34869982e-05  9.55121913e-01 
 4.25621864e-05  9.55320348e-01 
 6.07125628e-05  9.55407086e-01 
 9.70133156e-05  9.55332475e-01 
 1.00000000e-04  9.55313690e-01 
 1.05973369e-04  9.55274200e-01 
 1.17920107e-04  9.55195223e-01 
 1.41813582e-04  9.55037289e-01 
 1.89600533e-04  9.54721499e-01 
 2.85174436e-04  9.54090234e-01 
 3.85174436e-04  9.53430176e-01 
 4.25295500e-04  2.74577175e-01 
 4.61876868e-04 -4.59077752e-01 
 4.91784987e-04 -9.56625317e-01 
 5.23594346e-04 -1.12752160e+00 
 5.52532123e-04 -1.13926400e+00 
 5.85938943e-04 -1.12925935e+00 
 6.23829695e-04 -1.12421990e+00 
 6.99611200e-04 -1.12325697e+00 
 7.99611200e-04 -1.12361657e+00 
 8.99611200e-04 -1.12369599e+00 
 9.99611200e-04 -1.12367723e+00 
 1.09961120e-03 -1.12365855e+00 
 1.19961120e-03 -1.12364627e+00 
 1.29961120e-03 -1.12363698e+00 
 1.39961120e-03 -1.12362943e+00 
 1.49961120e-03 -1.12362318e+00 
 1.59961120e-03 -1.12361792e+00 
 1.69961120e-03 -1.12361345e+00 
 1.79961120e-03 -1.12360960e+00 
 1.89961120e-03 -1.12360626e+00 
 1.99961120e-03 -1.12360333e+00 
 2.09961120e-03 -1.12360073e+00 
 2.19961120e-03 -1.12359842e+00 
 2.29961120e-03 -1.12359635e+00 
 2.39961120e-03 -1.12359449e+00 
 2.49961120e-03 -1.12359280e+00 
 2.59961120e-03 -1.12359126e+00 
 2.69961120e-03 -1.12358986e+00 
 2.79961120e-03 -1.12358857e+00 
 2.89961120e-03 -1.12358739e+00 
 2.99961120e-03 -1.12358629e+00 
 3.09961120e-03 -1.12358528e+00 
 3.19961120e-03 -1.12358433e+00 
 3.29961120e-03 -1.12358346e+00 
 3.39961120e-03 -1.12358264e+00 
 3.49961120e-03 -1.12358187e+00 
 3.59961120e-03 -1.12358115e+00 
 3.69961120e-03 -1.12358047e+00 
 3.79961120e-03 -1.12357984e+00 
 3.89961120e-03 -1.12357924e+00 
 3.99961120e-03 -1.12357867e+00 
 4.09961120e-03 -1.12357814e+00 
 4.19961120e-03 -1.12357763e+00 
 4.29961120e-03 -1.12357715e+00 
 4.39961120e-03 -1.12357669e+00 
 4.49961120e-03 -1.12357625e+00 
 4.59961120e-03 -1.12357584e+00 
 4.69961120e-03 -1.12357544e+00 
 4.79961120e-03 -1.12357506e+00 
 4.89961120e-03 -1.12357470e+00 
 4.99961120e-03 -1.12357436e+00 
 5.09961120e-03 -1.12357402e+00 
 5.19961120e-03 -1.12357371e+00 
 5.29961120e-03 -1.12357340e+00 
 5.39961120e-03 -1.12357311e+00 
 5.49961120e-03 -1.12357283e+00 
 5.59961120e-03 -1.12357256e+00 
 5.69961120e-03 -1.12357230e+00 
 5.79961120e-03 -1.12357205e+00 
 5.89961120e-03 -1.12357181e+00 
 5.99961120e-03 -1.12357158e+00 
 6.09961120e-03 -1.12357135e+00 
 6.19961120e-03 -1.12357114e+00 
 6.29961120e-03 -1.12357093e+00 
 6.39961120e-03 -1.12357073e+00 
 6.49961120e-03 -1.12357053e+00 
 6.59961120e-03 -1.12357034e+00 
 6.69961120e-03 -1.12357016e+00 
 6.79961120e-03 -1.12356998e+00 
 6.89961120e-03 -1.12356981e+00 
 6.99961120e-03 -1.12356964e+00 
 7.09961120e-03 -1.12356948e+00 
 7.19961120e-03 -1.12356932e+00 
 7.29961120e-03 -1.12356917e+00 
 7.39961120e-03 -1.12356902e+00 
 7.49961120e-03 -1.12356888e+00 
 7.59961120e-03 -1.12356874e+00 
