 1.00000000e+00  6.60326334e+01 
 1.04712855e+00  6.56387545e+01 
 1.09647820e+00  6.52443481e+01 
 1.14815362e+00  6.48494594e+01 
 1.20226443e+00  6.44541304e+01 
 1.25892541e+00  6.40583992e+01 
 1.31825674e+00  6.36623011e+01 
 1.38038426e+00  6.32658681e+01 
 1.44543977e+00  6.28691297e+01 
 1.51356125e+00  6.24721130e+01 
 1.58489319e+00  6.20748428e+01 
 1.65958691e+00  6.16773416e+01 
 1.73780083e+00  6.12796305e+01 
 1.81970086e+00  6.08817285e+01 
 1.90546072e+00  6.04836531e+01 
 1.99526231e+00  6.00854204e+01 
 2.08929613e+00  5.96870454e+01 
 2.18776162e+00  5.92885415e+01 
 2.29086765e+00  5.88899214e+01 
 2.39883292e+00  5.84911966e+01 
 2.51188643e+00  5.80923780e+01 
 2.63026799e+00  5.76934754e+01 
 2.75422870e+00  5.72944981e+01 
 2.88403150e+00  5.68954547e+01 
 3.01995172e+00  5.64963533e+01 
 3.16227766e+00  5.60972015e+01 
 3.31131121e+00  5.56980063e+01 
 3.46736850e+00  5.52987747e+01 
 3.63078055e+00  5.48995130e+01 
 3.80189396e+00  5.45002275e+01 
 3.98107171e+00  5.41009241e+01 
 4.16869383e+00  5.37016089e+01 
 4.36515832e+00  5.33022874e+01 
 4.57088190e+00  5.29029653e+01 
 4.78630092e+00  5.25036484e+01 
 5.01187234e+00  5.21043423e+01 
 5.24807460e+00  5.17050528e+01 
 5.49540874e+00  5.13057857e+01 
 5.75439937e+00  5.09065472e+01 
 6.02559586e+00  5.05073434e+01 
 6.30957344e+00  5.01081808e+01 
 6.60693448e+00  4.97090663e+01 
 6.91830971e+00  4.93100069e+01 
 7.24435960e+00  4.89110103e+01 
 7.58577575e+00  4.85120844e+01 
 7.94328235e+00  4.81132377e+01 
 8.31763771e+00  4.77144793e+01 
 8.70963590e+00  4.73158187e+01 
 9.12010839e+00  4.69172662e+01 
 9.54992586e+00  4.65188330e+01 
 1.00000000e+01  4.61205306e+01 
 1.04712855e+01  4.57223718e+01 
 1.09647820e+01  4.53243698e+01 
 1.14815362e+01  4.49265392e+01 
 1.20226443e+01  4.45288951e+01 
 1.25892541e+01  4.41314540e+01 
 1.31825674e+01  4.37342331e+01 
 1.38038426e+01  4.33372508e+01 
 1.44543977e+01  4.29405267e+01 
 1.51356125e+01  4.25440811e+01 
 1.58489319e+01  4.21479358e+01 
 1.65958691e+01  4.17521134e+01 
 1.73780083e+01  4.13566372e+01 
 1.81970086e+01  4.09615318e+01 
 1.90546072e+01  4.05668223e+01 
 1.99526231e+01  4.01725342e+01 
 2.08929613e+01  3.97786938e+01 
 2.18776162e+01  3.93853272e+01 
 2.29086765e+01  3.89924603e+01 
 2.39883292e+01  3.86001187e+01 
 2.51188643e+01  3.82083271e+01 
 2.63026799e+01  3.78171084e+01 
 2.75422870e+01  3.74264842e+01 
 2.88403150e+01  3.70364734e+01 
 3.01995172e+01  3.66470917e+01 
 3.16227766e+01  3.62583516e+01 
 3.31131121e+01  3.58702610e+01 
 3.46736850e+01  3.54828230e+01 
 3.63078055e+01  3.50960352e+01 
 3.80189396e+01  3.47098889e+01 
 3.98107171e+01  3.43243690e+01 
 4.16869383e+01  3.39394534e+01 
 4.36515832e+01  3.35551125e+01 
 4.57088190e+01  3.31713094e+01 
 4.78630092e+01  3.27879996e+01 
 5.01187234e+01  3.24051315e+01 
 5.24807460e+01  3.20226466e+01 
 5.49540874e+01  3.16404804e+01 
 5.75439937e+01  3.12585627e+01 
 6.02559586e+01  3.08768190e+01 
 6.30957344e+01  3.04951714e+01 
 6.60693448e+01  3.01135399e+01 
 6.91830971e+01  2.97318435e+01 
 7.24435960e+01  2.93500018e+01 
 7.58577575e+01  2.89679362e+01 
 7.94328235e+01  2.85855708e+01 
 8.31763771e+01  2.82028339e+01 
 8.70963590e+01  2.78196588e+01 
 9.12010839e+01  2.74359844e+01 
 9.54992586e+01  2.70517561e+01 
 1.00000000e+02  2.66669260e+01 
 1.04712855e+02  2.62814529e+01 
 1.09647820e+02  2.58953028e+01 
 1.14815362e+02  2.55084481e+01 
 1.20226443e+02  2.51208677e+01 
 1.25892541e+02  2.47325466e+01 
 1.31825674e+02  2.43434747e+01 
 1.38038426e+02  2.39536470e+01 
 1.44543977e+02  2.35630624e+01 
 1.51356125e+02  2.31717230e+01 
 1.58489319e+02  2.27796337e+01 
 1.65958691e+02  2.23868010e+01 
 1.73780083e+02  2.19932329e+01 
 1.81970086e+02  2.15989376e+01 
 1.90546072e+02  2.12039233e+01 
 1.99526231e+02  2.08081978e+01 
 2.08929613e+02  2.04117672e+01 
 2.18776162e+02  2.00146362e+01 
 2.29086765e+02  1.96168073e+01 
 2.39883292e+02  1.92182802e+01 
 2.51188643e+02  1.88190518e+01 
 2.63026799e+02  1.84191153e+01 
 2.75422870e+02  1.80184604e+01 
 2.88403150e+02  1.76170726e+01 
 3.01995172e+02  1.72149330e+01 
 3.16227766e+02  1.68120179e+01 
 3.31131121e+02  1.64082984e+01 
 3.46736850e+02  1.60037403e+01 
 3.63078055e+02  1.55983034e+01 
 3.80189396e+02  1.51919414e+01 
 3.98107171e+02  1.47846015e+01 
 4.16869383e+02  1.43762239e+01 
 4.36515832e+02  1.39667412e+01 
 4.57088190e+02  1.35560784e+01 
 4.78630092e+02  1.31441521e+01 
 5.01187234e+02  1.27308700e+01 
 5.24807460e+02  1.23161306e+01 
 5.49540874e+02  1.18998227e+01 
 5.75439937e+02  1.14818243e+01 
 6.02559586e+02  1.10620029e+01 
 6.30957344e+02  1.06402142e+01 
 6.60693448e+02  1.02163023e+01 
 6.91830971e+02  9.79009841e+00 
 7.24435960e+02  9.36142089e+00 
 7.58577575e+02  8.93007465e+00 
 7.94328235e+02  8.49585077e+00 
 8.31763771e+02  8.05852620e+00 
 8.70963590e+02  7.61786357e+00 
 9.12010839e+02  7.17361112e+00 
 9.54992586e+02  6.72550276e+00 
 1.00000000e+03  6.27325833e+00 
 1.04712855e+03  5.81658404e+00 
 1.09647820e+03  5.35517313e+00 
 1.14815362e+03  4.88870681e+00 
 1.20226443e+03  4.41685544e+00 
 1.25892541e+03  3.93927999e+00 
 1.31825674e+03  3.45563383e+00 
 1.38038426e+03  2.96556479e+00 
 1.44543977e+03  2.46871756e+00 
 1.51356125e+03  1.96473631e+00 
 1.58489319e+03  1.45326763e+00 
 1.65958691e+03  9.33963622e-01 
 1.73780083e+03  4.06485199e-01 
 1.81970086e+03 -1.29494547e-01 
 1.90546072e+03 -6.74286961e-01 
 1.99526231e+03 -1.22818451e+00 
 2.08929613e+03 -1.79145765e+00 
 2.18776162e+03 -2.36435192e+00 
 2.29086765e+03 -2.94708544e+00 
 2.39883292e+03 -3.53984683e+00 
 2.51188643e+03 -4.14279365e+00 
 2.63026799e+03 -4.75605141e+00 
 2.75422870e+03 -5.37971322e+00 
 2.88403150e+03 -6.01384006e+00 
 3.01995172e+03 -6.65846168e+00 
 3.16227766e+03 -7.31357808e+00 
 3.31131121e+03 -7.97916153e+00 
 3.46736850e+03 -8.65515905e+00 
 3.63078055e+03 -9.34149524e+00 
 3.80189396e+03 -1.00380754e+01 
 3.98107171e+03 -1.07447886e+01 
 4.16869383e+03 -1.14615113e+01 
 4.36515832e+03 -1.21881100e+01 
 4.57088190e+03 -1.29244446e+01 
 4.78630092e+03 -1.36703707e+01 
 5.01187234e+03 -1.44257423e+01 
 5.24807460e+03 -1.51904128e+01 
 5.49540874e+03 -1.59642373e+01 
 5.75439937e+03 -1.67470722e+01 
 6.02559586e+03 -1.75387760e+01 
 6.30957344e+03 -1.83392085e+01 
 6.60693448e+03 -1.91482297e+01 
 6.91830971e+03 -1.99656982e+01 
 7.24435960e+03 -2.07914689e+01 
 7.58577575e+03 -2.16253903e+01 
 7.94328235e+03 -2.24673016e+01 
 8.31763771e+03 -2.33170291e+01 
 8.70963590e+03 -2.41743827e+01 
 9.12010839e+03 -2.50391521e+01 
 9.54992586e+03 -2.59111036e+01 
 1.00000000e+04 -2.67899756e+01 
 1.04712855e+04 -2.76754764e+01 
 1.09647820e+04 -2.85672806e+01 
 1.14815362e+04 -2.94650272e+01 
 1.20226443e+04 -3.03683174e+01 
 1.25892541e+04 -3.12767144e+01 
 1.31825674e+04 -3.21897426e+01 
 1.38038426e+04 -3.31068885e+01 
 1.44543977e+04 -3.40276025e+01 
 1.51356125e+04 -3.49513014e+01 
 1.58489319e+04 -3.58773714e+01 
 1.65958691e+04 -3.68051728e+01 
 1.73780083e+04 -3.77340443e+01 
 1.81970086e+04 -3.86633089e+01 
 1.90546072e+04 -3.95922792e+01 
 1.99526231e+04 -4.05202640e+01 
 2.08929613e+04 -4.14465742e+01 
 2.18776162e+04 -4.23705286e+01 
 2.29086765e+04 -4.32914605e+01 
 2.39883292e+04 -4.42087219e+01 
 2.51188643e+04 -4.51216896e+01 
 2.63026799e+04 -4.60297683e+01 
 2.75422870e+04 -4.69323943e+01 
 2.88403150e+04 -4.78290380e+01 
 3.01995172e+04 -4.87192054e+01 
 3.16227766e+04 -4.96024388e+01 
 3.31131121e+04 -5.04783168e+01 
 3.46736850e+04 -5.13464534e+01 
 3.63078055e+04 -5.22064962e+01 
 3.80189396e+04 -5.30581247e+01 
 3.98107171e+04 -5.39010478e+01 
 4.16869383e+04 -5.47350005e+01 
 4.36515832e+04 -5.55597418e+01 
 4.57088190e+04 -5.63750514e+01 
 4.78630092e+04 -5.71807272e+01 
 5.01187234e+04 -5.79765828e+01 
 5.24807460e+04 -5.87624457e+01 
 5.49540874e+04 -5.95381552e+01 
 5.75439937e+04 -6.03035622e+01 
 6.02559586e+04 -6.10585280e+01 
 6.30957344e+04 -6.18029245e+01 
 6.60693448e+04 -6.25366348e+01 
 6.91830971e+04 -6.32595546e+01 
 7.24435960e+04 -6.39715928e+01 
 7.58577575e+04 -6.46726740e+01 
 7.94328235e+04 -6.53627405e+01 
 8.31763771e+04 -6.60417538e+01 
 8.70963590e+04 -6.67096976e+01 
 9.12010839e+04 -6.73665791e+01 
 9.54992586e+04 -6.80124315e+01 
 1.00000000e+05 -6.86473153e+01 
 1.04712855e+05 -6.92713192e+01 
 1.09647820e+05 -6.98845613e+01 
 1.14815362e+05 -7.04871893e+01 
 1.20226443e+05 -7.10793798e+01 
