 1.20226443e+01 -1.07535525e+02  1.20226443e+01 -6.36651886e-10  1.20226443e+01 -1.86344321e+02 
 1.25892541e+01 -1.07135525e+02  1.25892541e+01 -6.98049652e-10  1.25892541e+01 -1.85944325e+02 
 1.31825674e+01 -1.06735525e+02  1.31825674e+01 -7.65365495e-10  1.31825674e+01 -1.85544330e+02 
 1.38038426e+01 -1.06335525e+02  1.38038426e+01 -8.39171262e-10  1.38038426e+01 -1.85144335e+02 
 1.44543977e+01 -1.05935525e+02  1.44543977e+01 -9.20092801e-10  1.44543977e+01 -1.84744341e+02 
 1.51356125e+01 -1.05535525e+02  1.51356125e+01 -1.00880996e-09  1.51356125e+01 -1.84344347e+02 
 1.58489319e+01 -1.05135525e+02  1.58489319e+01 -1.10607975e-09  1.58489319e+01 -1.83944353e+02 
 1.65958691e+01 -1.04735525e+02  1.65958691e+01 -1.21271990e-09  1.65958691e+01 -1.83544361e+02 
 1.73780083e+01 -1.04335525e+02  1.73780083e+01 -1.32963785e-09  1.73780083e+01 -1.83144369e+02 
 1.81970086e+01 -1.03935525e+02  1.81970086e+01 -1.45781915e-09  1.81970086e+01 -1.82744377e+02 
 1.90546072e+01 -1.03535525e+02  1.90546072e+01 -1.59834674e-09  1.90546072e+01 -1.82344387e+02 
 1.99526231e+01 -1.03135525e+02  1.99526231e+01 -1.75241155e-09  1.99526231e+01 -1.81944398e+02 
 2.08929613e+01 -1.02735525e+02  2.08929613e+01 -1.92131254e-09  2.08929613e+01 -1.81544409e+02 
 2.18776162e+01 -1.02335526e+02  2.18776162e+01 -2.10647788e-09  2.18776162e+01 -1.81144422e+02 
 2.29086765e+01 -1.01935526e+02  2.29086765e+01 -2.30947171e-09  2.29086765e+01 -1.80744436e+02 
 2.39883292e+01 -1.01535526e+02  2.39883292e+01 -2.53200763e-09  2.39883292e+01 -1.80344451e+02 
 2.51188643e+01 -1.01135526e+02  2.51188643e+01 -2.77596223e-09  2.51188643e+01 -1.79944468e+02 
 2.63026799e+01 -1.00735526e+02  2.63026799e+01 -3.04339723e-09  2.63026799e+01 -1.79544486e+02 
 2.75422870e+01 -1.00335526e+02  2.75422870e+01 -3.33656339e-09  2.75422870e+01 -1.79144506e+02 
 2.88403150e+01 -9.99355262e+01  2.88403150e+01 -3.65793516e-09  2.88403150e+01 -1.78744528e+02 
 3.01995172e+01 -9.95355263e+01  3.01995172e+01 -4.01022713e-09  3.01995172e+01 -1.78344552e+02 
 3.16227766e+01 -9.91355265e+01  3.16227766e+01 -4.39639689e-09  3.16227766e+01 -1.77944579e+02 
 3.31131121e+01 -9.87355266e+01  3.31131121e+01 -4.81970482e-09  3.31131121e+01 -1.77544608e+02 
 3.46736850e+01 -9.83355268e+01  3.46736850e+01 -5.28371413e-09  3.46736850e+01 -1.77144639e+02 
