# Iload_mA PVDD_V
0 5.6893
1 5.6525
2 5.6146
5 5.4904
10 4.9958
15 4.9954
20 4.9952
25 4.9950
30 4.9948
35 4.9947
40 4.9945
42 4.9945
44 4.9944
46 4.9944
48 4.9943
50 4.9943
51 4.9943
52 4.9942
53 4.9942
54 4.9942
55 4.9942
56 4.9942
57 4.9770
58 4.8029
59 4.6182
60 4.4209
62 3.9950
65 3.2886
70 2.0627
75 1.2732
80 0.8514
85 0.5751
90 0.3695
95 0.2048
100 0.0670
110 0.0000
120 0.0000
130 0.0000
140 0.0000
150 0.0000
